"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7799631Aligned.sortedByCoord.out.bam","SeuratProject",2000088,8135,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799634Aligned.sortedByCoord.out.bam","SeuratProject",1173367,8437,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799626Aligned.sortedByCoord.out.bam","SeuratProject",2986397,10397,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799628Aligned.sortedByCoord.out.bam","SeuratProject",1378915,12164,"marmoset","newworld","primate","SYS_CS7","6","6"
"CME25A7799625Aligned.sortedByCoord.out.bam","SeuratProject",939265,10579,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7799622Aligned.sortedByCoord.out.bam","SeuratProject",833107,8307,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7799623Aligned.sortedByCoord.out.bam","SeuratProject",528621,10635,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7799615Aligned.sortedByCoord.out.bam","SeuratProject",283572,14187,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799614Aligned.sortedByCoord.out.bam","SeuratProject",313060,5989,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799616Aligned.sortedByCoord.out.bam","SeuratProject",1149240,12821,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7799618Aligned.sortedByCoord.out.bam","SeuratProject",633443,9023,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799612Aligned.sortedByCoord.out.bam","SeuratProject",834041,11890,"marmoset","newworld","primate","ExMes_CS7","1","1"
"CME25A7799605Aligned.sortedByCoord.out.bam","SeuratProject",252057,14128,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7799606Aligned.sortedByCoord.out.bam","SeuratProject",2036141,7641,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7799611Aligned.sortedByCoord.out.bam","SeuratProject",1937700,14327,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799603Aligned.sortedByCoord.out.bam","SeuratProject",644997,8762,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799604Aligned.sortedByCoord.out.bam","SeuratProject",420103,6686,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799608Aligned.sortedByCoord.out.bam","SeuratProject",732410,6955,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799610Aligned.sortedByCoord.out.bam","SeuratProject",2070247,13268,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799609Aligned.sortedByCoord.out.bam","SeuratProject",1218307,12848,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7799598Aligned.sortedByCoord.out.bam","SeuratProject",656620,10031,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799602Aligned.sortedByCoord.out.bam","SeuratProject",262140,6166,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799601Aligned.sortedByCoord.out.bam","SeuratProject",41625,7538,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799590Aligned.sortedByCoord.out.bam","SeuratProject",1528463,13729,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7799600Aligned.sortedByCoord.out.bam","SeuratProject",869590,8743,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799599Aligned.sortedByCoord.out.bam","SeuratProject",232140,12694,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7799597Aligned.sortedByCoord.out.bam","SeuratProject",484663,10460,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799594Aligned.sortedByCoord.out.bam","SeuratProject",1229104,11942,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7799591Aligned.sortedByCoord.out.bam","SeuratProject",769285,8031,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799588Aligned.sortedByCoord.out.bam","SeuratProject",419299,8640,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799592Aligned.sortedByCoord.out.bam","SeuratProject",167694,12819,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799593Aligned.sortedByCoord.out.bam","SeuratProject",556306,5695,"marmoset","newworld","primate","ExMes_CS7","1","1"
"CME25A7799584Aligned.sortedByCoord.out.bam","SeuratProject",665891,11171,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7799589Aligned.sortedByCoord.out.bam","SeuratProject",121864,5392,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799580Aligned.sortedByCoord.out.bam","SeuratProject",220307,11323,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799583Aligned.sortedByCoord.out.bam","SeuratProject",834289,12474,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7799582Aligned.sortedByCoord.out.bam","SeuratProject",468457,7209,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7799585Aligned.sortedByCoord.out.bam","SeuratProject",107549,4802,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799581Aligned.sortedByCoord.out.bam","SeuratProject",369522,7258,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799586Aligned.sortedByCoord.out.bam","SeuratProject",1256044,8215,"marmoset","newworld","primate","ReGland_CS7","3","3"
"CME25A7799579Aligned.sortedByCoord.out.bam","SeuratProject",80687,8255,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799573Aligned.sortedByCoord.out.bam","SeuratProject",110728,4551,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799577Aligned.sortedByCoord.out.bam","SeuratProject",827891,7183,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799578Aligned.sortedByCoord.out.bam","SeuratProject",350985,6077,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799571Aligned.sortedByCoord.out.bam","SeuratProject",253969,11058,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799574Aligned.sortedByCoord.out.bam","SeuratProject",300249,6026,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799575Aligned.sortedByCoord.out.bam","SeuratProject",392464,14463,"marmoset","newworld","primate","ReGland_CS7","3","3"
"CME25A7799570Aligned.sortedByCoord.out.bam","SeuratProject",466065,9437,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7799560Aligned.sortedByCoord.out.bam","SeuratProject",152406,11179,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7799572Aligned.sortedByCoord.out.bam","SeuratProject",801239,11036,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7799569Aligned.sortedByCoord.out.bam","SeuratProject",161640,4879,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799567Aligned.sortedByCoord.out.bam","SeuratProject",431089,10945,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7799568Aligned.sortedByCoord.out.bam","SeuratProject",645550,8755,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799566Aligned.sortedByCoord.out.bam","SeuratProject",353504,7471,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7799565Aligned.sortedByCoord.out.bam","SeuratProject",254659,9804,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7799564Aligned.sortedByCoord.out.bam","SeuratProject",2151853,9799,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799559Aligned.sortedByCoord.out.bam","SeuratProject",426958,8317,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799562Aligned.sortedByCoord.out.bam","SeuratProject",378540,10203,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7799561Aligned.sortedByCoord.out.bam","SeuratProject",785342,7118,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7796092Aligned.sortedByCoord.out.bam","SeuratProject",2813628,12987,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7799557Aligned.sortedByCoord.out.bam","SeuratProject",681399,9102,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7799555Aligned.sortedByCoord.out.bam","SeuratProject",514022,10902,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7796088Aligned.sortedByCoord.out.bam","SeuratProject",455269,3862,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7796084Aligned.sortedByCoord.out.bam","SeuratProject",839135,9944,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796087Aligned.sortedByCoord.out.bam","SeuratProject",960233,9190,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796089Aligned.sortedByCoord.out.bam","SeuratProject",608916,10703,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7796086Aligned.sortedByCoord.out.bam","SeuratProject",561076,5427,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7796081Aligned.sortedByCoord.out.bam","SeuratProject",849739,14466,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7796079Aligned.sortedByCoord.out.bam","SeuratProject",633564,9419,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7796083Aligned.sortedByCoord.out.bam","SeuratProject",935105,8185,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7796082Aligned.sortedByCoord.out.bam","SeuratProject",706054,7564,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7796080Aligned.sortedByCoord.out.bam","SeuratProject",734462,10516,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7796085Aligned.sortedByCoord.out.bam","SeuratProject",677826,11024,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796076Aligned.sortedByCoord.out.bam","SeuratProject",538766,5470,"marmoset","newworld","primate","Tb_CS7","4","4"
