"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30"
"CME25A7812760Aligned.sortedByCoord.out.bam",-33.0295892818274,9.78419643217234,0.131100703165683,-22.594234556075,31.0195569344105,6.43886587742043,4.21754021486124,-23.4743361732874,-7.7075232454059,0.135865775837323,-28.4710958731331,13.666594734207,-8.77766988963076,-5.43770439659081,17.7528031029444,-36.5223391586965,-13.732483904331,-11.9309145990932,-5.97424834429018,1.23325224044727,-12.1474876166836,-10.3130926031951,15.8332829052164,40.7263860872458,63.473423748329,-5.03527355502963,-12.8516276340367,-59.4200715768005,41.083537831542,41.9904742930108
"CME25A7812757Aligned.sortedByCoord.out.bam",-16.5059699535145,-5.04311072321517,-9.27649297901646,6.9878887669103,8.76575131240441,-6.8284176226284,6.60602335122757,-9.26332588826323,7.50830592261091,3.57121340347837,-4.4834329177294,-0.451440619067251,5.61629724650052,3.92384431622709,11.4307654333207,-0.795061907791766,-8.07642234175025,3.50674938274734,5.31461877936175,-10.2049940985242,-0.686669709246001,-7.87858330499991,5.29903877782248,-5.99458590518556,-2.19115639550878,9.27088362156789,-3.47069801334301,-5.42130496821241,1.88074052755358,-6.08336830070734
"CME25A7812759Aligned.sortedByCoord.out.bam",-13.3358417671963,-0.906139880195517,-5.59582762864309,14.5875291942582,8.97048130635884,7.36124928841959,3.14783430598375,12.4734118355174,1.55441627821649,-9.34295732019446,-6.13744640856427,-7.67462745012053,-9.40678049623184,-2.11880682249619,9.1372014292946,-5.99879727780585,-6.76516927907428,1.9011474382084,-2.80171495747907,-4.13614916017742,-0.0711560104876442,-1.33427859724156,3.641815638025,2.76187962538917,-6.02197797454776,4.60392105873848,4.66614820777568,-8.01829878138099,2.45058347807291,-0.132714117005218
"CME25A7812758Aligned.sortedByCoord.out.bam",-22.4353667817134,-12.2690722986516,-18.5332621309798,-22.8815682006386,0.94349420729455,11.0119156257687,5.25223760538433,-14.7340656270682,-9.3611151499115,4.3376639496149,-5.01512329494838,7.17312547271491,6.28930150746925,-3.66149368933055,1.84953395269297,-8.543698380528,-2.55137308706521,-0.283788009070295,-1.29361856253162,0.230285700927653,2.30883307941872,-1.42403209813015,0.160554247180952,0.567915614437631,-2.60857616392166,-2.37881462433136,-0.429122106775427,-2.39899260550712,1.69573497507645,2.35904850919009
"CME25A7812761Aligned.sortedByCoord.out.bam",-25.8479942340326,15.336894180481,26.7715270087255,-1.52412723840796,-29.9692164047618,17.5175656606019,-3.84017964152011,-2.7691315217387,-0.795083863537113,-10.2468247344698,-8.05900709482462,2.47400287166328,2.20517599441173,-1.86210552134997,-3.21782023329055,-5.90467679594744,-7.77642613999521,1.31568238479294,4.29448945105999,-4.98926823090419,2.96543367862776,5.32521246673631,11.0281457441234,0.651245067816612,-1.30666469817918,6.00915667074546,-0.113715043796226,-3.66663323948297,0.0113300997286526,-0.770695969581369
"CME25A7812756Aligned.sortedByCoord.out.bam",-21.0658358207999,11.2112933237329,23.5986267886394,-9.64798432454763,-30.0468694506253,-2.62911754609039,3.44253471406502,-16.9680663430366,10.4258784379176,-6.13145048419011,-9.01785949949674,-4.85942089085157,-21.8881503494678,-1.56437377543869,3.26722204135088,4.44771813616216,2.13539859106031,-3.93039174866676,-1.6628689747793,0.243598111687158,-0.429384987247603,-2.28420002424325,5.55691061049135,6.37251915238281,-4.62115829628928,5.01933088075596,3.67442268017897,2.93652388979983,0.32995748345013,-6.5565277143165
"CME25A7812749Aligned.sortedByCoord.out.bam",-24.7622589024388,-0.993715798184772,-6.60963600523544,-10.6228464673241,11.2224772502806,24.1654824407168,-2.69229348538014,-5.04153931708415,-13.6914500238674,-0.018783226994235,-12.5559926868815,5.03974741676385,-0.484044018193483,-5.27678348690521,9.06547817167158,-12.7562243364318,-3.0100134968139,1.63404169073311,-5.52564085006467,1.23868894446227,4.35887082054158,-4.5086156078983,3.62540586261519,1.36498363510846,0.712610574203907,-2.18375543290549,2.69904830041609,-6.24290784751373,-0.424186273281821,3.6594334775914
"CME25A7812754Aligned.sortedByCoord.out.bam",-23.2174259053183,-10.3975205542651,-16.1740490682864,-16.2914953769334,-5.19689593729846,-3.11641893779121,16.6843430448668,-5.58127403008485,-10.9857134203751,2.32090337298073,2.74920477265533,3.2351231382271,11.4074719059251,-1.61598532280331,0.975482561511724,-8.98662795340303,-4.4203572204777,3.90664720436813,-2.95663111401414,-1.18738055954865,1.46736006069556,2.78763680313419,-2.56949690830118,-4.01527201260801,-8.26541214454459,-1.33023566831276,-4.25206139268821,-2.9515017110948,4.72371597215614,3.37715509078602
"CME25A7812745Aligned.sortedByCoord.out.bam",-20.3629459008445,-7.57377479981156,-13.901684434087,-19.7718093728253,9.55311532195465,9.05557650676133,1.13319083757797,-14.7584415210122,-5.57953156040528,3.34251296793826,-2.96208767406471,4.67865930893788,-1.80616696947296,2.87073046076451,-3.46800249812737,2.38214139659148,2.28880884687081,-0.966705053278223,-4.04824686551997,-1.08908752442981,-0.925961549203802,-0.184881644211001,-5.32372444470888,-4.43100008026,-2.82795352260295,4.25830721783673,3.29749722581739,0.723469549678614,-1.78199993750671,4.93358139408212
"CME25A7812755Aligned.sortedByCoord.out.bam",-42.7696262771252,27.9099579423666,23.3020615729675,-13.1461882918927,59.5953875411516,8.60070488964622,-2.83404880844217,-16.098836903624,10.0146441862244,-17.6408799565747,-41.5769208009764,16.4236087376931,-30.7752482199185,-17.8815229276397,1.34534367285325,-12.5972842931125,-34.5054237305029,69.7505770447922,12.7159194249974,-133.93947245026,-26.0876199876218,78.5986605530691,-54.3409602603103,20.6568937715099,-46.1058088395739,-30.0875129545087,6.75109829399084,36.3966066369518,-5.94655104443627,14.2465446425451
"CME25A7812753Aligned.sortedByCoord.out.bam",-16.9344689143472,5.70085149498318,20.5034976915047,-13.87526527347,-36.1371157461385,-0.360711113344758,1.6876151514661,-17.3545304223961,9.74821789141621,-3.47995287259522,-2.47734699882056,-7.41384275041733,-20.4121427759399,-2.65509595264613,4.79944104098535,5.03020368387598,2.08695523109831,-3.1568060744202,-1.53453203146324,0.798878046203592,-0.180228777497005,-3.00200321188498,4.04322665176573,6.52592858247911,-3.59162543537557,5.34230814814269,1.01498974614746,3.93353010103938,2.8348230423752,-4.95845572451976
"CME25A7812750Aligned.sortedByCoord.out.bam",-13.1135953046433,-8.31355004804709,-4.56245711093066,17.4677059358571,-8.17855373908557,-6.85994808538454,-4.88715975221991,6.80825470744817,26.6234750565328,22.9996121328838,-18.1554986430135,5.35214899100768,8.14557380685411,1.84822212416813,8.43465815806838,3.65462672341702,0.0151282801928009,-6.16269681459145,0.174726361549613,-11.4513242533667,4.86332435782393,-6.23527099884181,2.53676229243674,-11.8394123542033,-1.55878330795506,4.32780231360554,-2.80171419994987,-0.371704249009468,2.69785013416183,0.292318982114573
"CME25A7812747Aligned.sortedByCoord.out.bam",-18.2266384930944,4.78545757378266,18.9278456155424,-14.6814046194214,-35.4185912346645,1.93786725690997,-0.228963704514778,-14.3415878690849,6.6789244492399,-2.01732476461137,-0.500787684895672,-4.4520265806534,-11.4941637883679,-1.33269150606141,0.120389230570116,0.500120810928824,-0.37344564350714,-2.34033704142078,-0.898239967013683,0.63869189864002,0.990263716823454,1.26272252890438,4.1689804837607,5.13833673761939,-5.41796699670566,3.76723215355814,0.529207477557802,3.10590118558017,1.23515972915682,-3.6473232642736
"CME25A7812751Aligned.sortedByCoord.out.bam",-12.9315237140334,-2.22571577156079,10.9401403646546,-16.8872526251327,-37.4663810506763,-0.594821240709081,0.0747969754231828,-14.4607535756393,4.01101224532194,-2.83921880766438,1.69066273164102,-3.88477838808369,-10.3965146504232,-3.54577566891623,-0.659843992116117,0.499297204627262,-0.443733520941239,-2.04430635465192,0.768872253808974,0.445946244941265,1.21570516266897,0.0508624498647564,7.01429693946332,5.94505879925722,-6.25719007769266,7.32690280216921,-0.394743192571728,4.46032429660568,1.55135578470114,-4.92020281492699
"CME25A7812752Aligned.sortedByCoord.out.bam",-22.3783795281729,-0.488647769565651,5.16097865195549,10.7575893921051,-6.68012759647383,-16.397187976924,12.9254528443485,15.9267237280027,-8.02762738143069,27.3785986056841,-8.65815247401072,4.49576741688164,2.71262594418526,-2.62281221610378,-1.65004053762547,-7.86998649703668,4.70266324147902,4.47318871798997,6.41871430689935,-7.15153760262126,4.72489157430477,-7.49612784966319,10.5795587126585,-9.36403556628562,-4.60660173830186,7.16058607772979,-1.1603328829881,3.58228491388193,6.14666808752173,-5.2939789312161
"CME25A7812746Aligned.sortedByCoord.out.bam",-19.2417023398304,6.59921765960037,21.8082110358756,-8.28682713341888,-34.7906183681497,14.0976816312892,-9.86267507289627,-4.82080627648221,0.944918773161946,-4.23147114641003,3.07211345017403,-0.812017770210086,5.58347208924731,1.2155916995406,-5.247038254357,-6.55287504338316,-9.09038510066426,-3.08193966076183,5.37501477453627,-4.62527601055158,3.05252131652647,8.61355102735914,13.9424771980647,2.67391626019887,-0.635857864234686,9.00356839260409,0.251012125632142,0.841637514971478,-2.18409858539004,1.01718381411222
"CME25A7812744Aligned.sortedByCoord.out.bam",-31.7514836149994,2.52162522061929,-3.98187019232916,-16.4335259377048,14.8388129883523,2.40612148927932,7.30246523774509,-5.25813170421972,-12.8394975573055,-1.30954372772524,-1.52992048589202,5.2105032431537,15.2623470632866,-9.0280164271804,1.48180469575906,-22.0839068617407,-4.77045153937922,3.00423097431931,-4.58029467238686,1.63754279522691,9.00772116194158,-3.86548371394317,-1.9498031461618,-7.69746501306344,-7.83335467891888,-8.06255261512035,-2.28870825417359,-2.01904032754478,22.1316745595973,-10.6887152662005
"CME25A7812742Aligned.sortedByCoord.out.bam",5.9351213347901,-1.93415700599079,1.03902244253991,31.7658070438537,3.52728699070942,-5.63332569672293,-4.37398266642443,-18.6110116689197,-3.12747557834296,2.03802324502989,9.75525634710808,0.474307407725056,-2.57341012675965,-0.755683810694027,-5.24164928940827,0.139737408629596,-0.137060578616826,0.665329506486925,2.8977805722633,2.62309136206596,0.382254454087711,0.469184976525611,-0.120121735047546,4.13796113765887,-2.12198671141293,-1.11177251118895,0.335959200624192,1.70623886369373,1.47493049689322,-0.486410934144869
"CME25A7812743Aligned.sortedByCoord.out.bam",-29.3702657820195,11.6865815288104,9.63856589432163,-0.281457928409597,34.5046880885953,2.95379410305162,-4.95713736191936,-4.61351400971679,9.48233513738962,-8.38841426352721,-4.25746819430888,-7.18987356784483,-15.2729157611391,6.51981598450693,19.0731638213017,-13.4704396149514,-7.35150586340178,-7.86768449407665,7.37396676232179,-2.69332891379512,-5.27152182342127,5.61517817291255,-7.81487071884648,7.9183264163418,4.30137545014515,-3.81826648473656,8.89649416597599,0.419701467085437,5.12299388274065,-28.6666181722454
"CME25A7812715Aligned.sortedByCoord.out.bam",-22.2083889946083,-9.99444724356824,-10.4976861895255,-3.3095777653932,-6.37905429843548,-7.96688127790056,4.41105746511882,6.00767178675604,17.8205172578795,24.0695216407806,-10.4392022574749,6.34715373083881,7.20527263805933,2.31212679307549,1.92976613063052,0.355682597162814,1.51754207699039,0.0148054574969425,5.99592859777683,0.0432866174353286,2.82982132151664,-3.66668819717925,-0.703746177372873,1.7513617781662,-5.52873619768789,2.31753179121426,-2.48363398564336,3.59108395953081,2.77410382363461,-2.84428922256057
"CME25A7812741Aligned.sortedByCoord.out.bam",2.91916434221368,-4.55032191484992,-1.87212678765907,29.2782988698147,3.33585990301794,-3.52899351425793,-4.8427805864703,-11.9821301769194,-2.14010740140271,1.37983631447389,9.00749652574035,-2.96415601484561,-3.37223860954032,-2.13413256294859,-2.61033546628613,-0.57967302308335,-0.115114211062348,-1.21566042613154,2.22456360746948,2.0349034858122,0.750672876875155,-0.0840994924550768,0.324587730575172,4.54368151488007,-2.55519240832962,0.587608608697679,0.238732741025431,2.39586123338433,1.70504592406065,-1.04478765158172
"CME25A7812740Aligned.sortedByCoord.out.bam",-42.4705135031083,31.6429524920082,30.1501821991424,-9.79514473099983,65.0561990206043,-6.35253184434483,-3.79275991156027,-8.22036220661694,21.8056625393804,-18.8973483600728,-20.7484429082922,-12.0632198135256,-45.3012982988603,-6.10994869191924,62.2764051406806,-52.5341140963658,-37.3106055581666,-27.2428096505658,131.214657375632,76.7123112702088,19.211545751429,22.6142936847261,-25.4935772669903,-57.8977651843099,-13.9896400921519,9.39531603444816,-46.9848196562732,24.4233354193809,-15.5977705296064,37.2839387700972
"CME25A7812717Aligned.sortedByCoord.out.bam",-21.9100923623024,-0.446359546006332,-1.66340844344376,13.8874676226216,1.29684090489044,-10.049989215556,-3.01475013461506,2.68138532187715,39.3082856035771,26.9181484520856,-22.875516504314,9.98135694456632,11.987129083538,4.37768822003281,18.6536069260572,5.34195939414484,-6.56698607122109,-5.66036681488808,-0.950623670372167,-25.1410933970705,13.8836662102033,-7.58518567826389,0.291935093353208,-26.6492738949249,2.50048680526625,10.3414841844581,0.493395413592704,3.54274607213249,5.20151409491089,1.77337815702507
"CME25A7812739Aligned.sortedByCoord.out.bam",-3.76115375189816,0.941053486722648,2.70966663035532,33.8243636674577,12.2022240333002,-9.13435566543576,-7.43943879854863,-22.1048452032506,1.24818318554955,6.1957632369525,15.0948193088482,-4.09945325752311,-2.38239176024102,2.34374771837033,-0.350920500834877,2.07510806884193,2.30723648129769,-5.56701730899146,3.955295349101,1.68998634203087,0.508161559592327,1.78541871769743,0.188290731217298,5.21978976029881,-2.95084864438106,0.71587753886989,1.79479357881309,4.63339970037789,2.70799747241486,-1.09893796181267
"CME25A7812738Aligned.sortedByCoord.out.bam",5.55103880740848,-2.23741609609193,1.60731746247516,31.4108176306174,1.28826625716148,-5.83852734739012,-3.57948807719909,-12.8108649258098,3.69877818250709,6.58320901215377,3.2028241830786,1.8470235962047,-0.156428240032566,-2.63549163934365,-2.8823035234759,0.855434982257104,-0.307203065458394,-0.174365853556481,1.6742789758609,0.486571142961007,1.35914722486484,-1.44619532465003,0.523462808590651,-0.907595823384222,-1.03404699478752,0.568735779148552,-1.01866967169816,1.40413404259966,1.69474122171554,-0.756457808794477
"CME25A7812737Aligned.sortedByCoord.out.bam",-14.8513845999294,-7.02448134098282,-7.04303122479453,15.5508058670258,-6.92674190892621,-8.77940631250356,-2.09852516193592,2.09968034343395,26.3360812428558,23.0741524551719,-18.4596424986649,0.957172911494531,6.87496754856572,2.69571021617997,7.51953233230026,6.37290876625548,1.50293888570326,-3.30160509003283,-0.805318312084366,-10.2901842679265,6.22223884609208,-4.48461882355777,1.94097895011601,-15.731458030928,1.06573294563792,3.04656689814403,0.470807195207922,-1.89367196121411,2.84629477380734,-3.02917828535762
"CME25A7812724Aligned.sortedByCoord.out.bam",-16.2347292565925,-2.22442935393722,-1.08205819995859,14.1075646784489,4.18616202414824,-6.04406669577029,-7.10053119679,2.96371137466451,32.662760608537,28.5745219312567,-11.7872456263398,-5.63479449968033,11.7229636636166,4.74251379076589,18.1003340466012,5.73198315752029,2.43814840521862,-15.9675848143192,-4.8639659591278,-16.5993152027209,10.0328063469354,-2.56679392152622,0.0428586972084479,-13.9831599297943,-4.66975141379069,8.32166303245452,-3.42440775149137,-2.5256321409578,5.61117521030139,-4.59253672267731
"CME25A7812734Aligned.sortedByCoord.out.bam",7.17484496774359,-1.75781245562087,1.77108612975674,34.7612366998545,0.23405206211034,-3.31887221915858,-4.64446662238868,-15.1811767930162,-0.684389867640976,4.37761334513756,4.52896792280514,1.55836629713566,-1.37569727398192,-2.4079090733159,-3.82717849917628,0.588261074500069,0.197556975333922,-0.346477122788062,3.28166492238279,0.943437559115279,2.24115972793576,-0.45873093440452,0.360075975190985,0.379338599599862,-1.04001987109376,-0.738228632963358,0.121258689437666,2.17109115007025,1.43581254608338,-1.95819220398825
"CME25A7812732Aligned.sortedByCoord.out.bam",-5.03127907068876,0.493529215149278,1.64569486541316,29.1360914338391,8.28172228513631,-10.3675715658559,-3.61909618353641,-20.7318423414095,1.24019240158587,3.14584500045957,9.93022833627667,1.36416247140393,-2.17266017551792,0.279491886735012,-1.8201995852621,1.25404452066909,-1.39260023107663,-0.327242946561173,2.99089201179785,2.4599724550141,0.0320901741545168,1.72170622254081,2.04801349025384,6.07243873495658,-0.577886137706079,0.792865873978864,0.534159433814841,2.40667117969504,3.64706682238378,-3.23275805823497
"CME25A7812736Aligned.sortedByCoord.out.bam",-17.3497047605039,3.02962252531168,16.828790935504,-12.853133397858,-34.9471208960167,-2.98259077699595,3.41333565182801,-12.6673707673408,2.74783904017583,-0.300185681186392,-1.70542569631673,-3.68479215214941,-15.3614982000678,-4.37678494818039,1.62525768347682,2.36037645915818,4.77187061838913,-0.0149887205206009,-3.22510938427033,4.54900063405863,-0.546825194819502,-3.35235565087117,-2.39129513164604,2.47688959288189,-4.50692032624273,1.39706441259911,-0.744333675395722,2.96030057786315,2.40666605420458,-4.24610138899453
"CME25A7812730Aligned.sortedByCoord.out.bam",5.47908439945078,-2.54933907090997,0.656991915774838,28.8589511776495,-0.664708584761153,-6.54114529852032,-1.91384508892398,-13.3106795058252,2.28267827402634,3.33298290085076,2.67978136412044,3.39669929775988,-1.288197878551,-3.10508539844051,-4.29756033468444,-1.5808347838151,-1.86178833962876,1.45393628809086,1.92435025531091,1.14471022475519,0.445094574980105,-0.331146117810435,1.53870623557849,-0.0898799194713982,-1.05538490236355,0.788576770307551,0.160116044122682,1.03044562704508,1.75987485127896,-2.23368354455219
"CME25A7812735Aligned.sortedByCoord.out.bam",-22.2938893160032,9.28128128031307,24.9539622743105,-8.47708029657316,-30.0886912128713,-7.55191858473937,6.82516511987044,-4.33314452259862,-0.0313227257253695,4.22244926945046,0.955608995252556,-3.87535435664122,-14.2592629590419,-5.71704930649172,3.05951684007929,-0.888798836997093,6.86937443782838,1.12204348480944,-1.80294257622228,5.74842007559522,1.40578138720496,-4.19630450084693,-7.54631087255264,2.9091106626238,-4.7902489527676,-1.97623994252484,0.105322418743412,4.52244733905964,5.55001713719483,-6.29164233396016
"CME25A7812729Aligned.sortedByCoord.out.bam",-21.6200427990425,9.40151286344236,23.7667405812782,-10.5638723025896,-26.866487873107,-7.43351074952073,4.33663987004232,-6.92992189748114,2.96771760137354,0.914448333161941,2.37764153070502,-1.40899618823007,-12.7393664620432,-5.45200349482741,2.25519347180651,-0.801810256021736,5.58469696462212,0.490659009592562,-2.42427282302823,3.46071403799879,-0.124960488784144,-3.96682972587146,-4.53430911728599,3.54590437202178,-3.80105887614437,0.157950064176326,0.209030316418151,3.15445223778439,5.6049906345035,-5.65059455407311
"CME25A7812731Aligned.sortedByCoord.out.bam",-32.4811487816925,11.6977715314894,9.84352207392496,-9.80996764913405,17.5040379609548,-0.252588648250057,1.60540878612787,9.23356908639296,-5.85432102814615,-1.09317729367236,3.39133968239473,0.20391925048997,19.1653395693588,-14.389976739355,10.10341168916,-28.3326072751337,-4.65647711517413,6.1289359120045,-0.879505609300824,-1.4198598654378,6.40978871837112,-1.46391030795873,-14.7553038373345,-14.508882863202,-19.9674827999296,-7.70781917117766,-1.4296772551195,-5.85559101676385,63.0321508642503,-49.1954125357705
"CME25A7812733Aligned.sortedByCoord.out.bam",-11.3517927507563,-12.5746369904847,-15.1118857070134,-19.8389193962724,6.31752203007285,17.0155250990515,-6.40285379950645,-7.85895465138502,-10.6774209659222,8.94647132766996,-2.51876668346747,5.27269120465266,-0.0422208541745775,-5.81584084071157,1.01121922173384,-10.2267282152828,0.512631153474185,-2.4531816442686,-0.943029012009543,2.75262713222484,4.48816753152486,-4.22235589385471,-0.0692063361304258,2.59426164601583,-4.79891691022162,-2.25786830790249,0.999073852757967,-0.967538489228468,2.25035921128268,-2.50449654463941
"CME25A7812727Aligned.sortedByCoord.out.bam",-29.7276992588658,6.44816848757114,6.81541021668976,-20.8264319139172,-1.18656578535765,19.7395509118852,-18.6855216408774,-15.7611202290323,-4.07934414307923,6.76577160721617,5.5151182739934,-0.637396283879993,11.5382528940134,1.14360466962167,-0.274662743669451,-10.1975050466225,-8.14185976566904,-9.49354983399808,2.91323323765437,-4.33320031926437,3.49049023555239,6.84998956703067,12.1330865520448,6.79368599512055,-0.365219064401061,8.45168378461358,-1.57752837337324,1.19891950571722,-3.5653247042848,2.28407318751732
"CME25A7812725Aligned.sortedByCoord.out.bam",-28.4119586986374,2.03846377549405,1.97707837443139,-19.6738046555717,11.7518932121632,26.2977852188158,-15.1230557496574,-5.22950612003259,-14.4087954078875,16.1279230853944,-7.79210586052981,6.50488287335789,4.68170915726403,-9.32400045283517,5.7390064052463,-15.9104406602962,0.118718812904829,-5.77695064610638,-3.54022209403591,-1.70746487759446,8.72820218637808,-3.65189249537232,2.69216416565964,5.92649716582396,-0.442044400529469,-4.44661248280584,3.43662898697321,-0.520331930021056,6.14096795201404,-3.97220821815815
"CME25A7812728Aligned.sortedByCoord.out.bam",-15.5239470534985,1.5468057384121,2.33427661679441,-7.76615243901086,18.7258761700379,11.507124866817,-13.4527156780366,-3.15366714342452,-3.01451783119788,2.85335059656707,-1.51428568038638,4.82670280705288,-9.74528655656602,1.41007534002789,1.85290665146896,0.27784104801795,1.86129015690161,3.38451153037089,2.37025045583955,-2.62170297552135,-1.04008324816938,-1.47613219533528,-1.78701939560752,-0.575403616246,0.52215680154582,-6.10112612234173,3.98538475505726,1.69481725916295,-5.58822741328879,2.96902072298542
"CME25A7812716Aligned.sortedByCoord.out.bam",-34.7234216986649,14.1369111346173,12.078053184445,-22.3552288587299,33.8593586206945,22.6215198064212,-19.8188105676841,-16.9936408901901,-5.40030855392009,14.6895154291093,-15.6094504819166,7.86926407772877,-8.82987293957559,-5.34442546930893,11.6240710632927,-19.5186230498147,0.872775401201274,-16.4956886795441,-2.04425534848949,-3.23698923122491,8.38643848965651,-9.41880005041562,6.27868140951688,13.4864682550799,-2.11238275693933,-12.1029989817901,7.8254314499534,-6.49809978571783,4.52980310187777,-1.61279618036006
"CME25A7812722Aligned.sortedByCoord.out.bam",-11.4521799814063,-12.9921158267255,-12.3301810263398,-14.8799728259652,9.27009761158954,13.8702319249249,-10.4836775024081,-6.69605451955784,-8.68350299372562,6.96295934500811,-0.203512455296344,2.98295852922416,1.42822330287747,-0.0701515370247681,-2.80091376515888,1.7712811861352,0.579276525107684,-0.454384145259937,-0.597340704447293,1.79470775774081,1.20333446389372,-3.23673477347477,-0.617247997697289,-1.32596584046656,-4.68729846887812,1.63092001207761,-4.15511828066701,4.09460750461744,-0.144548006547476,-0.814645498763853
