"","tSNE_1","tSNE_2"
"CME25A7812674Aligned.sortedByCoord.out.bam",-24.3603511231442,1.56045478461787
"CME25A7812670Aligned.sortedByCoord.out.bam",-4.79463278032329,11.2002305129641
"CME25A7812669Aligned.sortedByCoord.out.bam",-5.11646388074042,12.7404365802094
"CME25A7799646Aligned.sortedByCoord.out.bam",-5.02209157984386,12.6949854677655
"CME25A7812668Aligned.sortedByCoord.out.bam",11.2918382527325,12.7545476608027
"CME25A7812667Aligned.sortedByCoord.out.bam",11.3879063025311,12.8023085538756
"CME25A7799647Aligned.sortedByCoord.out.bam",-4.87101638644355,11.1459870155838
"CME25A7799648Aligned.sortedByCoord.out.bam",-4.39462239084116,11.3013439408774
"CME25A7812666Aligned.sortedByCoord.out.bam",11.1020681436537,12.5888980732977
"CME25A7799643Aligned.sortedByCoord.out.bam",-24.4107748118976,1.3888340548422
"CME25A7799629Aligned.sortedByCoord.out.bam",-3.6452190402442,9.10727284861077
"CME25A7799645Aligned.sortedByCoord.out.bam",-6.78968311442122,10.9675894814938
"CME25A7799639Aligned.sortedByCoord.out.bam",-5.18166629067082,12.8689832874011
"CME25A7799644Aligned.sortedByCoord.out.bam",-26.2485952485948,-0.552067880676862
"CME25A7799641Aligned.sortedByCoord.out.bam",-17.7024076981801,-2.69370674849019
"CME25A7799642Aligned.sortedByCoord.out.bam",11.3988947942974,12.9422776896055
"CME25A7799636Aligned.sortedByCoord.out.bam",-4.57833172781089,11.1025004677744
"CME25A7799640Aligned.sortedByCoord.out.bam",-3.55533052486528,-1.7576744003408
"CME25A7799637Aligned.sortedByCoord.out.bam",-3.90801330948857,8.97239913015992
"CME25A7799638Aligned.sortedByCoord.out.bam",-19.9381683014648,4.34194824116328
"CME25A7799635Aligned.sortedByCoord.out.bam",11.2763615560158,12.8561405574047
"CME25A7799632Aligned.sortedByCoord.out.bam",11.0733316748627,12.5977502775949
"CME25A7799633Aligned.sortedByCoord.out.bam",-4.61932915819827,10.2269006598883
"CME25A7799631Aligned.sortedByCoord.out.bam",11.0661729514208,12.6171471562826
"CME25A7799634Aligned.sortedByCoord.out.bam",-4.88492100644735,9.13106359306368
"CME25A7799626Aligned.sortedByCoord.out.bam",11.0984370049132,12.7486350868083
"CME25A7799628Aligned.sortedByCoord.out.bam",-16.1461104150275,-0.370738639193418
"CME25A7799625Aligned.sortedByCoord.out.bam",-16.6502145903846,-2.98025841928262
"CME25A7799622Aligned.sortedByCoord.out.bam",6.26941540221519,-1.01311395476923
"CME25A7799623Aligned.sortedByCoord.out.bam",-11.154482232748,0.567865739182812
"CME25A7799615Aligned.sortedByCoord.out.bam",-21.7006087549308,1.46388476990295
"CME25A7799614Aligned.sortedByCoord.out.bam",-6.91608667998304,6.76161877283205
"CME25A7799616Aligned.sortedByCoord.out.bam",-20.0775656950043,4.32977578380843
"CME25A7799618Aligned.sortedByCoord.out.bam",-6.45745761925817,2.69422187002152
"CME25A7799612Aligned.sortedByCoord.out.bam",-5.90241151117604,0.646911092137887
"CME25A7799605Aligned.sortedByCoord.out.bam",-17.5421665783675,-2.00356112375877
"CME25A7799606Aligned.sortedByCoord.out.bam",-8.87966186980503,0.905317862258297
"CME25A7799611Aligned.sortedByCoord.out.bam",-26.6623668902113,-0.963424421399626
"CME25A7799603Aligned.sortedByCoord.out.bam",-6.31079422399516,5.56866516716669
"CME25A7799604Aligned.sortedByCoord.out.bam",-6.15901779071155,5.08814871221975
"CME25A7799608Aligned.sortedByCoord.out.bam",-4.4973123373873,5.22744439149477
"CME25A7799610Aligned.sortedByCoord.out.bam",-26.1056351964336,-0.691193944866236
"CME25A7799609Aligned.sortedByCoord.out.bam",2.95276556923277,-3.67799326560107
"CME25A7799598Aligned.sortedByCoord.out.bam",-11.4558399556158,8.70286876150853
"CME25A7799602Aligned.sortedByCoord.out.bam",-4.73942433165356,7.85496485997059
"CME25A7799601Aligned.sortedByCoord.out.bam",-10.2173866575868,9.77202142029178
"CME25A7799590Aligned.sortedByCoord.out.bam",3.32142672087717,-3.8954450328252
"CME25A7799600Aligned.sortedByCoord.out.bam",-5.57997498046723,4.79340519302906
"CME25A7799599Aligned.sortedByCoord.out.bam",-15.3316691743379,-3.85562136694827
"CME25A7799597Aligned.sortedByCoord.out.bam",-11.3967077852737,8.7132605681733
"CME25A7799594Aligned.sortedByCoord.out.bam",14.8634646785316,-3.38589674436815
"CME25A7799591Aligned.sortedByCoord.out.bam",-5.77589536075739,2.84018155757169
"CME25A7799588Aligned.sortedByCoord.out.bam",-5.69983072392173,2.76805893863605
"CME25A7799592Aligned.sortedByCoord.out.bam",-10.4300497311255,8.64905374445008
"CME25A7799593Aligned.sortedByCoord.out.bam",-2.65018628468035,6.42265275726978
"CME25A7799584Aligned.sortedByCoord.out.bam",15.3513302092536,-3.88808092241215
