"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSCJAG00000011562",2.22572783810301e-11,0.440161310181225,1,0.874,7.19422009110035e-07,"5","ENSCJAG00000011562"
"SNRPN1",2.2673327233681e-11,0.280234106565331,1,0.753,7.32869956174272e-07,"5","SNRPN"
"MED10",2.2797670019062e-11,0.30263423758471,1,0.739,7.36889088026142e-07,"5","MED10"
"PTGES3",2.44895930840483e-11,0.425112617383705,1,0.997,7.91577117255694e-07,"5","PTGES3"
"G3BP11",2.54981853282151e-11,0.418376650226361,1,0.981,8.24177844363896e-07,"5","G3BP1"
"ENSCJAG00000019089",2.69445805850023e-11,0.499492145948385,1,0.982,8.70929678249028e-07,"5","ENSCJAG00000019089"
"TIMM50",2.98034060155861e-11,0.343608159504596,1,0.776,9.63335492641791e-07,"5","TIMM50"
"NANOG1",3.06778719820429e-11,0.301394592870793,1,0.677,9.91600856075572e-07,"5","NANOG"
"NSFL1C",3.20779892830792e-11,0.377172630864658,1,0.74,1.03685684759697e-06,"5","NSFL1C"
"ILF2",3.2108506820714e-11,0.42745989190803,1,0.964,1.03784326596594e-06,"5","ILF2"
"VDAC2",3.45710058170014e-11,0.425503957545736,1,0.983,1.11743862102294e-06,"5","VDAC2"
"PHGDH",3.5451513172518e-11,0.285190873943986,0.952,0.543,1.1458992602753e-06,"5","PHGDH"
"FH",3.58640287689335e-11,0.278471969701001,1,0.784,1.15923300189824e-06,"5","FH"
"DEGS1",3.71095818784295e-11,0.319446598183694,1,0.909,1.19949301505648e-06,"5","DEGS1"
"ENSCJAG00000019334",3.71931239143284e-11,0.463140587402478,1,0.99,1.20219334428284e-06,"5","ENSCJAG00000019334"
"LMNB11",3.97949002477554e-11,0.33216851623837,1,0.79,1.2862905607082e-06,"5","LMNB1"
"SARS1",4.14647403036889e-11,0.564540499359182,1,0.923,1.34026480083614e-06,"5","SARS"
"MRPS11",4.3981200814278e-11,0.335721421672176,1,0.764,1.42160435391991e-06,"5","MRPS11"
"HOOK21",4.50285580291725e-11,0.254432673699321,0.952,0.643,1.45545808117694e-06,"5","HOOK2"
"MPC1",4.69958337989541e-11,0.336119638829643,1,0.843,1.51904633588359e-06,"5","MPC1"
"C1orf43",5.17731601907423e-11,0.29105531852832,1,0.607,1.67346385684536e-06,"5","C1orf43"
"SF3B4",5.35484465098355e-11,0.321769355020776,1,0.763,1.73084643653741e-06,"5","SF3B4"
"EFNA12",5.49618385840595e-11,0.415664780253478,1,0.835,1.77653150855256e-06,"5","EFNA1"
