"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"HAND1",5.3759451791541e-61,1.5430866664255,0.993,0.511,1.73766676025798e-56,"0","HAND1"
"CDH11",1.71701215767933e-52,1.9733779571227,0.964,0.535,5.5498983972669e-48,"0","CDH11"
"PROM1",2.18511802140894e-52,2.31507894422554,0.993,0.733,7.0629569806001e-48,"0","PROM1"
"C1QTNF3",6.7909931667691e-50,1.89409794612232,0.964,0.487,2.19505272129478e-45,"0","C1QTNF3"
"OLFML2B",8.72547574173631e-50,1.16233346293763,0.832,0.262,2.82033552400143e-45,"0","OLFML2B"
"DOK4",8.76976052862186e-50,1.29705848940399,0.971,0.626,2.83464969566644e-45,"0","DOK4"
"CD226",9.79892298864962e-50,2.14370572312993,0.971,0.59,3.16730587762122e-45,"0","CD226"
"GDF10",3.042394808137e-49,1.3197697756604,0.876,0.333,9.83393273834122e-45,"0","GDF10"
"WNT5A",7.79732228043295e-49,1.66503043172949,0.949,0.536,2.52032848070434e-44,"0","WNT5A"
"FOXF1",1.67248314281521e-48,0.961061194388233,0.839,0.313,5.40596726252161e-44,"0","FOXF1"
"VIM",9.33025700885532e-48,1.54455817139717,1,0.805,3.0158189729723e-43,"0","VIM"
"BAMBI",2.10575514811542e-47,1.46331833400479,0.978,0.685,6.80643236525347e-43,"0","BAMBI"
"ALAS2",6.37926835219339e-47,0.753541704290675,0.803,0.261,2.06197090947947e-42,"0","ALAS2"
"BMP4",2.00751771150644e-46,1.55466204334779,0.949,0.707,6.48889949890226e-42,"0","BMP4"
"CRISPLD1",2.13624023995058e-44,1.28303757859185,0.993,0.56,6.90496932759225e-40,"0","CRISPLD1"
"MYL7",3.44456061946816e-44,1.00951722026436,0.898,0.401,1.11338532903069e-39,"0","MYL7"
"KRT19",4.68869322455066e-44,1.07383112955812,1,0.784,1.51552631097151e-39,"0","KRT19"
"RPS14",2.13885795950109e-42,0.612604990832772,1,0.99,6.91343058249536e-38,"0","RPS14"
"FBLN1",7.84828256052527e-42,1.17424698539698,0.993,0.944,2.53680037203858e-37,"0","FBLN1"
"ENSCJAG00000021897",2.07729489793703e-41,0.933165277050889,0.985,0.968,6.71444029860186e-37,"0","ENSCJAG00000021897"
"HOXA10",4.74779761106277e-41,0.886725296870632,0.825,0.327,1.53463062182382e-36,"0","HOXA10"
"MDK",8.93725761674858e-41,1.07681157580253,0.993,0.903,2.88878977946164e-36,"0","MDK"
"HNRNPA2B1",1.84849515512512e-37,0.779627137269571,1,0.999,5.97489088991092e-33,"0","HNRNPA2B1"
"FBN2",3.65714050217973e-37,1.03766619693839,0.891,0.464,1.18209752451956e-32,"0","FBN2"
"APOE",7.58363242575584e-37,0.907067073059565,1,0.913,2.45125750897706e-32,"0","APOE"
"RPS2",1.04332723253714e-36,0.774815968558489,1,1,3.37234661372981e-32,"0","RPS2"
"EVX1",1.22022982606463e-35,0.587980225006324,0.62,0.164,3.94414886678871e-31,"0","EVX1"
"GALNT1",1.43739705667624e-35,1.4672306285654,0.993,0.959,4.64609850629461e-31,"0","GALNT1"
"ID2",4.28195346839394e-35,0.838044866517052,0.971,0.763,1.38405581958897e-30,"0","ID2"
"PITX2",6.40918715831418e-35,0.807425801350349,0.898,0.485,2.07164156518189e-30,"0","PITX2"
"ENC1",1.12076870477296e-34,1.25493513125593,0.971,0.755,3.62266068443764e-30,"0","ENC1"
"ID3",2.40176831745708e-34,0.787060156215682,0.978,0.721,7.76323573251653e-30,"0","ID3"
"BMP2",1.05631597399817e-33,0.779783673659442,0.847,0.394,3.41433012275427e-29,"0","BMP2"
"SEMA6D",1.51882066827806e-33,1.31859352209669,0.971,0.725,4.90928404607518e-29,"0","SEMA6D"
"RPL22",6.19410962395201e-33,0.770997298670431,1,0.99,2.00212205375001e-28,"0","RPL22"
"HAND2",1.16110252366234e-32,0.609961363071397,0.745,0.291,3.75303168723378e-28,"0","HAND2"
"APLNR",1.92245880297773e-32,1.18228499518129,0.883,0.444,6.21396358886492e-28,"0","APLNR"
"NRP1",2.15257133702647e-32,0.922420780615632,0.803,0.402,6.95775633267064e-28,"0","NRP1"
"TRPV2",5.07567166201544e-32,0.83329768246443,0.81,0.368,1.64060935131325e-27,"0","TRPV2"
"TMEM88",5.10097734922263e-32,0.561445901887813,0.891,0.471,1.64878890858923e-27,"0","TMEM88"
"CMKLR1",2.06367663790182e-31,0.899642280560389,0.818,0.394,6.67042199669007e-27,"0","CMKLR1"
"EPHB3",2.39116681632119e-31,1.05031757037121,0.964,0.639,7.72896850039499e-27,"0","EPHB3"
"MMP2",2.62327283962406e-31,0.875623353955837,0.949,0.683,8.47920479951687e-27,"0","MMP2"
"TCF4",2.18767918259705e-30,0.926829925230441,0.964,0.776,7.07123542190844e-26,"0","TCF4"
"HES1",3.08299633314874e-30,0.531091028766639,0.796,0.358,9.96516904763669e-26,"0","HES1"
"WNT5B",3.73807966149744e-30,1.16166776708209,0.825,0.509,1.20825948898582e-25,"0","WNT5B"
"PKDCC",4.14621614355007e-30,1.10968591082312,0.927,0.654,1.34018144407969e-25,"0","PKDCC"
"WLS",1.67715819529919e-29,1.01133918828774,0.978,0.91,5.42107843466558e-25,"0","WLS"
"ENSCJAG00000000156",2.89848657543948e-29,0.427141604598655,1,0.984,9.36877815779304e-25,"0","ENSCJAG00000000156"
"HAPLN1",3.79296067876854e-29,1.13166643861166,0.847,0.481,1.22599868019836e-24,"0","HAPLN1"
"ENSCJAG00000009675",5.25640424561141e-29,0.650836751088973,1,0.999,1.69902754430898e-24,"0","ENSCJAG00000009675"
"ACTG1",1.52759041175994e-28,0.581819508765304,1,1,4.93763048793165e-24,"0","ACTG1"
"ENSCJAG00000034634",1.63384168620663e-28,0.730447156121889,1,0.879,5.2810664823257e-24,"0","ENSCJAG00000034634"
"ROR1",3.55445102781597e-28,0.631690364491207,0.788,0.353,1.14890520572095e-23,"0","ROR1"
"PODXL",5.50115530456068e-28,1.05337625541139,0.985,0.819,1.77813842909315e-23,"0","PODXL"
"ENSCJAG00000006178",7.7419937530879e-28,0.766902863895333,1,0.901,2.5024446408106e-23,"0","ENSCJAG00000006178"
"ENSCJAG00000034343",1.28076921451909e-27,0.678416615191853,0.861,0.511,4.13983033209004e-23,"0","ENSCJAG00000034343"
"SNAI2",1.34176675561601e-27,0.658115276641444,0.745,0.333,4.33699268417762e-23,"0","SNAI2"
"HOXB2",2.14177314621547e-27,0.555340357345047,0.708,0.302,6.92285334051225e-23,"0","HOXB2"
"FN1",5.03394148519829e-27,0.315961818160369,1,0.735,1.62712090626064e-22,"0","FN1"
"ROBO2",7.46940971186367e-27,0.548000435927551,0.701,0.296,2.41433730116569e-22,"0","ROBO2"
"TBX4",9.63946696114544e-27,0.443221520140766,0.533,0.151,3.11576490585104e-22,"0","TBX4"
"PDCD4",1.0783437403888e-26,0.924510930029901,0.971,0.9,3.48553047205872e-22,"0","PDCD4"
"ENSCJAG00000009564",6.50800770884098e-26,0.61877687475299,1,0.999,2.10358333172867e-21,"0","ENSCJAG00000009564"
"FBLN2",7.77106034864392e-26,0.807565156493712,0.956,0.783,2.51183983649217e-21,"0","FBLN2"
"HOXB3",9.41082449890532e-26,0.830999269539301,0.839,0.468,3.04186080278117e-21,"0","HOXB3"
"MAGED2",1.48078554664955e-25,0.751775804387495,0.971,0.756,4.78634312243535e-21,"0","MAGED2"
"ENSCJAG00000033770",1.6628001591335e-25,0.262528747530103,0.861,0.587,5.3746689543672e-21,"0","ENSCJAG00000033770"
"CD48",1.67678170634056e-25,0.823963250829603,0.956,0.697,5.41986150940458e-21,"0","CD48"
"PMAIP1",1.83834956399401e-25,0.9485823466787,0.839,0.535,5.94209729569784e-21,"0","PMAIP1"
"RPLP1",1.88167209222182e-25,0.485923254466086,1,1,6.08212870368859e-21,"0","RPLP1"
"IGFBP2",2.03928552657558e-25,0.472285438012706,1,0.726,6.59158260755024e-21,"0","IGFBP2"
"HMGA2",2.09198884584833e-25,0.978474126917664,0.81,0.43,6.76193554643555e-21,"0","HMGA2"
"ENSCJAG00000011775",3.2325196662831e-25,0.580161310354171,1,1,1.04484733173269e-20,"0","ENSCJAG00000011775"
"ISL1",3.64939867188432e-25,0.511718203874954,0.701,0.302,1.17959513271317e-20,"0","ISL1"
"RSPO3",3.65520776155025e-25,1.05105740532969,0.934,0.621,1.18147280476589e-20,"0","RSPO3"
"COL26A1",3.66990088968576e-25,0.997899223102015,0.861,0.592,1.18622206457313e-20,"0","COL26A1"
"CHSY1",3.68285312221214e-25,1.13588672039531,0.934,0.797,1.19040861469263e-20,"0","CHSY1"
"RDX",4.44882994269052e-25,0.759218629530351,1,0.99,1.43799530237586e-20,"0","RDX"
"PRDM6",7.24799693884331e-25,0.627716380968112,0.613,0.236,2.34277005054232e-20,"0","PRDM6"
"SMAD6",2.56927303144149e-24,0.480130699447244,0.796,0.434,8.30466121952833e-20,"0","SMAD6"
"CRB2",5.88550989655506e-24,0.57659483538637,0.547,0.178,1.90237336386349e-19,"0","CRB2"
"HOXA11",1.16901123229702e-23,0.545118930813974,0.642,0.262,3.77859500615365e-19,"0","HOXA11"
"PHLDB2",2.1297869613609e-23,1.08418475114199,0.956,0.755,6.88411039520683e-19,"0","PHLDB2"
"JCAD",2.5395257579566e-23,0.667015945066534,0.796,0.474,8.20850910744313e-19,"0","JCAD"
"ENSCJAG00000033800",2.55508626990508e-23,0.59300713330798,0.73,0.35,8.25880535021418e-19,"0","ENSCJAG00000033800"
"FBN1",1.09461750256503e-22,0.819094804121071,0.891,0.601,3.53813215354094e-18,"0","FBN1"
"PPIC",1.51235085448934e-22,0.984417380789305,0.912,0.725,4.88837166696589e-18,"0","PPIC"
"SEMA3E",1.56105373684622e-22,0.720274421012588,0.766,0.388,5.04579399360805e-18,"0","SEMA3E"
"RPS21",2.38443031566357e-22,0.554899226401042,0.985,1,7.70719410931935e-18,"0","RPS21"
"SPTBN1",3.26892694304038e-22,0.90569619103857,0.971,0.934,1.05661525579894e-17,"0","SPTBN1"
"ENSCJAG00000015974",4.95818862627757e-22,0.516601405046483,0.832,0.69,1.6026353096717e-17,"0","ENSCJAG00000015974"
"LOXL1",7.29342885118864e-22,0.471329215892233,0.766,0.42,2.35745500756971e-17,"0","LOXL1"
"LEF1",8.63895467478509e-22,0.389933061579891,0.766,0.425,2.79236931953078e-17,"0","LEF1"
"EFNB2",1.11701056519579e-21,0.784464226334414,0.927,0.722,3.61051324988235e-17,"0","EFNB2"
"NAV2",1.33023833934341e-21,0.683772985359054,0.912,0.691,4.29972938425969e-17,"0","NAV2"
"FSTL1",1.36487438087876e-21,0.745972583713885,0.993,0.968,4.4116834613144e-17,"0","FSTL1"
"ENSCJAG00000004441",2.38394210133924e-21,0.58009712504965,0.883,0.728,7.70561605415882e-17,"0","ENSCJAG00000004441"
"ENSCJAG00000010726",3.15891174201406e-21,0.520639689913203,1,0.997,1.0210550423712e-16,"0","ENSCJAG00000010726"
"PITX1",3.46596844719769e-21,0.471390720234922,0.708,0.378,1.12030498118771e-16,"0","PITX1"
"COL4A1",4.25805073309317e-21,1.04727339440538,1,0.911,1.37632973845771e-16,"0","COL4A1"
"ADGRA2",4.26976655438602e-21,0.692024312352719,0.745,0.429,1.38011664337419e-16,"0","ADGRA2"
"SHISA2",1.59133292122057e-20,0.378115897208334,0.869,0.509,5.14366540126124e-16,"0","SHISA2"
"SFRP2",1.60664552928091e-20,0.698635768262961,0.788,0.42,5.1931603442947e-16,"0","SFRP2"
"SPINT1",1.65072203201127e-20,1.16610951111602,0.971,0.953,5.33562882407004e-16,"0","SPINT1"
"MYL6",2.36096763729472e-20,0.463107563846023,0.985,0.993,7.63135569402773e-16,"0","MYL6"
"PEG3",2.66739655241543e-20,0.807875137598487,0.964,0.922,8.62182587637241e-16,"0","PEG3"
"ENSCJAG00000022596",3.12118041894418e-20,0.294984485906177,0.993,0.955,1.00885914681533e-15,"0","ENSCJAG00000022596"
"SPARC",3.73592747287662e-20,0.818980178357259,1,0.972,1.20756383705791e-15,"0","SPARC"
"EIF4G2",4.47965610313047e-20,0.545893691394193,1,1,1.44795924221486e-15,"0","EIF4G2"
"SPON1",5.01383808732051e-20,1.13273865683469,0.92,0.688,1.62062288496461e-15,"0","SPON1"
"EPB41L5",5.7320105202648e-20,0.997373841742351,0.978,0.946,1.85275776046519e-15,"0","EPB41L5"
"RPL11",9.53420795448573e-20,0.482301636788252,1,0.994,3.08174203712842e-15,"0","RPL11"
"ITM2C",1.35854760964848e-19,0.722813825521055,0.971,0.893,4.39123343866678e-15,"0","ITM2C"
"SFRP1",1.52787940115325e-19,0.59257535378914,0.883,0.513,4.93856458834766e-15,"0","SFRP1"
"ENSCJAG00000014827",3.14474540984308e-19,0.497619575727392,1,0.997,1.01647605882358e-14,"0","ENSCJAG00000014827"
"GPX3",3.23440929284277e-19,0.543112016854971,1,0.935,1.04545811572557e-14,"0","GPX3"
"ENSCJAG00000017440",4.00632811368921e-19,0.673788761294555,0.978,0.992,1.29496543618776e-14,"0","ENSCJAG00000017440"
"KDELR3",4.87518838156317e-19,0.509519977717858,0.964,0.98,1.57580714057266e-14,"0","KDELR3"
"PDGFRA",5.87624899226765e-19,0.963457293672107,0.942,0.762,1.89937996177067e-14,"0","PDGFRA"
"LIN28B",6.78320241506529e-19,0.746463970222209,0.898,0.764,2.19253451662155e-14,"0","LIN28B"
"RCN1",7.48163339810115e-19,0.647140752736562,0.993,0.929,2.41828836326823e-14,"0","RCN1"
"TNFRSF19",9.47004769427231e-19,0.645474745658456,0.766,0.461,3.06100351621964e-14,"0","TNFRSF19"
"ZNF516",9.51109782753499e-19,0.388828776102934,0.686,0.36,3.07427215079414e-14,"0","ZNF516"
"MGAT3",9.54114014335264e-19,0.303832013882506,0.701,0.365,3.08398272853587e-14,"0","MGAT3"
"SEMA3D",1.05253254475626e-18,0.52609395487627,0.62,0.285,3.40210094441565e-14,"0","SEMA3D"
"TBX20",1.27216918231946e-18,0.772863076463722,0.708,0.425,4.11203244801118e-14,"0","TBX20"
"YWHAE",1.68512132930224e-18,0.542314257823339,0.993,0.984,5.44681767270362e-14,"0","YWHAE"
"BMP5",1.73623079401912e-18,0.632774058072033,0.642,0.339,5.61201879550802e-14,"0","BMP5"
"ENSCJAG00000004779",2.78547950870794e-18,0.47181696616873,0.993,1,9.00350541599666e-14,"0","ENSCJAG00000004779"
"NES",2.7954621940032e-18,0.338640376844977,0.584,0.268,9.03577244967654e-14,"0","NES"
"CST3",3.34098537023282e-18,0.56767451148023,1,0.984,1.07990670122035e-13,"0","CST3"
"AFAP1L2",3.78068971330341e-18,0.692421808084009,0.905,0.776,1.22203233603106e-13,"0","AFAP1L2"
"ATF3",5.47827369568643e-18,0.560684606603163,0.737,0.454,1.77074240665673e-13,"0","ATF3"
"ENSCJAG00000008311",5.69501116814813e-18,0.458908641653993,1,0.999,1.84079845988052e-13,"0","ENSCJAG00000008311"
"EGFLAM",6.39817421730012e-18,0.656530387505182,0.752,0.47,2.06808185225792e-13,"0","EGFLAM"
"ENSCJAG00000012417",1.0198917338078e-17,0.452706094775698,0.993,1,3.29659605118697e-13,"0","ENSCJAG00000012417"
"PTPRD",1.02123728774589e-17,0.717644273227589,0.818,0.525,3.30094528518104e-13,"0","PTPRD"
"KIF26A",1.19186747420825e-17,0.356657801278425,0.818,0.522,3.85247323688332e-13,"0","KIF26A"
"LMCD1",1.22295934156587e-17,0.326914439686506,0.526,0.2,3.95297147974337e-13,"0","LMCD1"
"HOXB6",1.25843858972765e-17,0.536801810115331,0.679,0.353,4.06765105357669e-13,"0","HOXB6"
"VTN",2.17302950314331e-17,0.301539257305174,0.883,0.581,7.02388326301011e-13,"0","VTN"
"LAMC1",2.67205405871655e-17,0.700694716197171,0.978,0.955,8.63688033398949e-13,"0","LAMC1"
"CLMP",2.67450495637971e-17,0.631651768473069,0.891,0.592,8.64480237050613e-13,"0","CLMP"
"AMIGO2",3.30346675356362e-17,0.777031893001072,0.869,0.659,1.06777955875437e-12,"0","AMIGO2"
"SLC25A24",3.49569153269406e-17,0.505082276485797,0.869,0.67,1.1299123741127e-12,"0","SLC25A24"
"RPS8",4.01641835289587e-17,0.451562978205419,1,0.997,1.29822690420653e-12,"0","RPS8"
"SEMA3A",4.55753854891919e-17,0.82990838496277,0.679,0.361,1.47313318516715e-12,"0","SEMA3A"
"RPL26",5.88310404456027e-17,0.48382953658553,0.993,0.993,1.90159572032322e-12,"0","RPL26"
"SFPQ",7.3664027569012e-17,0.55836780426632,0.993,0.994,2.38104236311317e-12,"0","SFPQ"
"SERPINH1",8.89653112020414e-17,0.567695443721167,0.993,0.913,2.87562575398359e-12,"0","SERPINH1"
"GATA6",1.25872689319345e-16,0.75197441796966,0.942,0.839,4.0685829368692e-12,"0","GATA6"
"HSP90AA1",1.27301623831329e-16,0.444264927894768,1,1,4.11477038710005e-12,"0","HSP90AA1"
"ADAM10",1.35556405878201e-16,0.747695955323002,0.971,0.966,4.38158970720109e-12,"0","ADAM10"
"ARHGAP31",1.69981340675721e-16,0.378232759052337,0.555,0.237,5.49430687466132e-12,"0","ARHGAP31"
"ST3GAL1",1.81023108735815e-16,0.527295339547544,0.686,0.368,5.85120994366776e-12,"0","ST3GAL1"
"CANX",2.17688221325611e-16,0.759165969089453,1,0.992,7.03633637790772e-12,"0","CANX"
"ENSCJAG00000016462",2.18378249623206e-16,0.418085704564186,1,0.989,7.05864016257089e-12,"0","ENSCJAG00000016462"
"ENSCJAG00000020981",2.90611299369253e-16,0.472736029281619,0.993,0.994,9.39342902951236e-12,"0","ENSCJAG00000020981"
"FAM171A1",3.50234468243406e-16,0.705495409386571,0.825,0.615,1.13206287170316e-11,"0","FAM171A1"
"ENSCJAG00000031814",4.34074610346535e-16,0.372568854792906,1,0.997,1.4030593630231e-11,"0","ENSCJAG00000031814"
"TMEM98",6.90439937546965e-16,0.567920072963743,0.839,0.602,2.23170901013306e-11,"0","TMEM98"
"LRRN1",9.58993413723181e-16,0.482296493144595,0.759,0.426,3.09975441117744e-11,"0","LRRN1"
"RPL31",1.09251442700688e-15,0.396249202425926,1,0.994,3.53133438241435e-11,"0","RPL31"
"ENSCJAG00000019556",1.3883976484948e-15,0.541808601972604,0.978,0.913,4.48771771922973e-11,"0","ENSCJAG00000019556"
"ZFYVE19",2.51657735110212e-15,1.09249290399308,0.927,0.906,8.13433297196739e-11,"0","ZFYVE19"
"ENSCJAG00000009672",2.64164869088573e-15,0.456202286920433,1,0.999,8.53860106354994e-11,"0","ENSCJAG00000009672"
"RPL28",4.76155812772483e-15,0.381432248300364,1,0.999,1.5390784336245e-10,"0","RPL28"
"RPS12",5.69515728821388e-15,0.422270320002522,1,1,1.84084569026937e-10,"0","RPS12"
"HSP90B1",6.8703917383544e-15,0.584968887564182,1,0.996,2.22071672158829e-10,"0","HSP90B1"
"TUBB6",6.93566626291367e-15,0.753468750264545,0.927,0.87,2.24181540616159e-10,"0","TUBB6"
"TWSG1",7.48565902461732e-15,0.829030883081022,0.934,0.883,2.41958956652706e-10,"0","TWSG1"
"UACA",7.97364909141062e-15,0.992046553330024,0.803,0.599,2.57732259581665e-10,"0","UACA"
"CD320",1.21582415086221e-14,0.610004723670278,0.92,0.87,3.92990840283191e-10,"0","CD320"
"RPS29",1.27635499328491e-14,0.390283664795015,1,0.999,4.12556224479481e-10,"0","RPS29"
"MID1",1.62988142302031e-14,0.576328381801447,0.788,0.583,5.26826572362856e-10,"0","MID1"
"NPY",1.89329819622301e-14,0.495484340989173,0.54,0.237,6.11970775965163e-10,"0","NPY"
"ENSCJAG00000015008",1.98423014976552e-14,0.395977409875237,1,0.999,6.41362711308709e-10,"0","ENSCJAG00000015008"
"NETO2",2.63998102619171e-14,0.40051181594814,0.825,0.56,8.53321067095946e-10,"0","NETO2"
"RPLP2",2.73250630160812e-14,0.45725268542677,1,0.999,8.83228011868792e-10,"0","RPLP2"
"UNC5C",2.99362422318584e-14,0.477747412172548,0.584,0.303,9.67629157660358e-10,"0","UNC5C"
"LRP1",3.0100600601339e-14,0.525644975111196,0.927,0.767,9.72941713237082e-10,"0","LRP1"
"SPCS3",3.27534844867776e-14,0.565322550366265,0.978,0.958,1.05869087906611e-09,"0","SPCS3"
"CTNNB1",3.45964169751124e-14,0.51941797271987,0.985,0.997,1.11825998588656e-09,"0","CTNNB1"
"COX6C",3.64776108186598e-14,0.443343127102561,0.985,0.993,1.17906581449154e-09,"0","COX6C"
"ENSCJAG00000019355",4.13902989997137e-14,0.417744258798681,1,1,1.33785863456775e-09,"0","ENSCJAG00000019355"
"LGR4",4.86373228123596e-14,0.739992201306222,0.942,0.791,1.5721041852639e-09,"0","LGR4"
"C7",5.01831002861236e-14,0.505751020561309,0.562,0.267,1.62206835054837e-09,"0","C7"
"DCN",5.20236211712111e-14,0.938038624446476,0.796,0.481,1.68155950711706e-09,"0","DCN"
"MTSS1",5.2092540064963e-14,0.671431101909223,0.818,0.55,1.6837871725198e-09,"0","MTSS1"
"RAD21",5.30699934156515e-14,0.617627508897125,0.956,0.98,1.7153813971741e-09,"0","RAD21"
"PALM2-AKAP2",5.57307243369532e-14,0.859734964334845,0.883,0.887,1.80138420274334e-09,"0","PALM2-AKAP2"
"LGALS1",5.61201314634485e-14,0.46675750564936,0.993,0.997,1.81397100929305e-09,"0","LGALS1"
"ENSCJAG00000017072",6.72391555944616e-14,0.411895330432162,1,1,2.17337122627978e-09,"0","ENSCJAG00000017072"
"GREM2",7.17467427873704e-14,0.349143652490206,0.533,0.267,2.31906996711617e-09,"0","GREM2"
"ARMCX2",1.08702124480546e-13,0.678325383843711,0.876,0.643,3.5135787695847e-09,"0","ARMCX2"
"ENSCJAG00000002713",1.11571577362765e-13,0.369855268366144,0.496,0.224,3.60632809509665e-09,"0","ENSCJAG00000002713"
"ACSL4",1.11843059148201e-13,0.726529328705116,0.898,0.752,3.61510320084729e-09,"0","ACSL4"
"SALL1",1.13503232131972e-13,0.49308904513227,0.65,0.374,3.66876497220173e-09,"0","SALL1"
"PRDX6",1.14601052044219e-13,0.473177641668545,1,0.997,3.70424980522529e-09,"0","PRDX6"
"SNX18",1.44997628125311e-13,0.803810057238461,0.818,0.743,4.68675833389443e-09,"0","SNX18"
"COL4A2",1.76813679154143e-13,0.627076406488944,0.985,0.886,5.71514855129936e-09,"0","COL4A2"
"IL17RE",2.34211826927811e-13,0.51920374385844,0.409,0.159,7.57042888178763e-09,"0","IL17RE"
"GLI2",2.44666674581764e-13,0.325409357914379,0.547,0.261,7.90836092250634e-09,"0","GLI2"
"IGDCC3",2.67454811819596e-13,0.447793980238827,0.803,0.638,8.6449418824448e-09,"0","IGDCC3"
"GFPT2",2.8366205244145e-13,0.381957687229995,0.715,0.467,9.16880852106498e-09,"0","GFPT2"
"ENSCJAG00000011806",3.04787191220136e-13,0.357155250668961,1,0.999,9.85163638180844e-09,"0","ENSCJAG00000011806"
"MLEC",3.44463359707955e-13,0.525047340242929,0.964,0.955,1.11340891758402e-08,"0","MLEC"
"FADS1",3.85889827480543e-13,0.350161445198808,0.642,0.374,1.24731168936536e-08,"0","FADS1"
"FADS2",5.18083946096049e-13,0.299230765467141,0.854,0.602,1.67460273896626e-08,"0","FADS2"
"HOXA2",5.75861186238802e-13,0.366589664965619,0.65,0.454,1.86135611227968e-08,"0","HOXA2"
"SEMA3F",5.95867264314721e-13,0.453109338223605,0.854,0.659,1.92602175844447e-08,"0","SEMA3F"
"RPL23A",5.99457425491224e-13,0.391079222379179,1,1,1.93762623641528e-08,"0","RPL23A"
"ENSCJAG00000015250",7.24990948524646e-13,0.424336876337742,0.978,0.994,2.34338824291621e-08,"0","ENSCJAG00000015250"
"AXL",1.17094278450156e-12,0.453091460600837,0.818,0.614,3.7848383623444e-08,"0","AXL"
"PDZRN3",1.17396763984306e-12,0.449470010435774,0.664,0.425,3.79461560226472e-08,"0","PDZRN3"
"SSBP3",1.28255496196725e-12,0.357617807485297,0.927,0.886,4.14560240356673e-08,"0","SSBP3"
"FKBP10",1.30269976114931e-12,0.256531866642455,0.73,0.446,4.21071643796291e-08,"0","FKBP10"
"PXDN",1.37749425080295e-12,0.423694498680857,0.927,0.755,4.45247466687036e-08,"0","PXDN"
"CD63",2.36833631361997e-12,0.431419581497488,0.985,0.969,7.65517346651382e-08,"0","CD63"
"ENSCJAG00000019229",2.59995782954537e-12,0.310229240312251,1,0.999,8.40384369243949e-08,"0","ENSCJAG00000019229"
"STT3B",2.81985330551779e-12,0.679467775114454,0.971,0.973,9.11461183942514e-08,"0","STT3B"
"ZNF444",3.70230024571023e-12,0.544651538836615,0.861,0.804,1.19669450842092e-07,"0","ZNF444"
"COL27A1",3.74995068929700e-12,0.420115719961629,0.591,0.346,1.21209656130147e-07,"0","COL27A1"
"LRRFIP1",3.87128202059813e-12,0.464585000264898,0.905,0.822,1.25131448751793e-07,"0","LRRFIP1"
"GOLIM4",6.05964904015219e-12,0.492708620177881,0.766,0.574,1.95866035924839e-07,"0","GOLIM4"
"TLE3",6.8275240589763e-12,0.398119847136561,0.883,0.831,2.20686060158291e-07,"0","TLE3"
"TOP2A",8.71505934264955e-12,0.477296529571514,0.956,0.938,2.81696863132461e-07,"0","TOP2A"
"ENSCJAG00000018427",1.0592536365154e-11,0.50234790240466,0.737,0.633,3.42382552930872e-07,"0","ENSCJAG00000018427"
"HSPA5",1.07730399226286e-11,0.762536588977961,1,0.996,3.48216969419123e-07,"0","HSPA5"
"FHL2",1.08222196401542e-11,0.395042291456892,0.65,0.388,3.49806605428703e-07,"0","FHL2"
"ENSCJAG00000021650",1.10622061047764e-11,0.373479328425408,1,1,3.57563687924687e-07,"0","ENSCJAG00000021650"
"HS6ST1",1.15198553612305e-11,0.547491084545766,0.759,0.602,3.72356284841052e-07,"0","HS6ST1"
"ENSCJAG00000006874",1.26590848454205e-11,0.39445883288365,1,0.989,4.09179599458526e-07,"0","ENSCJAG00000006874"
"MAN1C1",1.46127737069395e-11,0.385799008494783,0.796,0.573,4.72328684529405e-07,"0","MAN1C1"
"MSX2",1.91469203927905e-11,0.406986731005044,0.861,0.755,6.18885907856167e-07,"0","MSX2"
"NRP2",2.13036195136348e-11,0.386903382820744,0.642,0.382,6.88596893539218e-07,"0","NRP2"
"GAS2L2",2.24894847337248e-11,0.337811524248017,0.35,0.134,7.26927615048185e-07,"0","GAS2L2"
"HNRNPU",2.40095825986605e-11,0.481472176247354,0.985,0.994,7.76061738336505e-07,"0","HNRNPU"
"ENSCJAG00000020983",2.65084269135467e-11,0.624671005661349,0.73,0.491,8.5683188312657e-07,"0","ENSCJAG00000020983"
"ESCO1",2.65127763003962e-11,0.376625773213653,0.562,0.812,8.56972468357707e-07,"0","ESCO1"
"TMEM2",2.84548430344663e-11,0.607865904421298,0.905,0.838,9.19745891403053e-07,"0","TMEM2"
"CMTM8",2.95398999749204e-11,0.365721159540679,0.825,0.647,9.54818186889353e-07,"0","CMTM8"
"RNF145",2.97551038666148e-11,0.496285926875247,0.934,0.842,9.6177422228059e-07,"0","RNF145"
"RPS27A",2.97922385595576e-11,0.344663660978807,1,0.997,9.62974526960579e-07,"0","RPS27A"
"HDGF",3.91306487078715e-11,0.449248197010316,0.942,0.944,1.26481995818453e-06,"0","HDGF"
"ENAH",3.9521928915597e-11,0.550126047221415,0.934,0.87,1.27746730833884e-06,"0","ENAH"
"OBSL1",4.24909265897037e-11,0.323727016207709,0.686,0.415,1.37343422015899e-06,"0","OBSL1"
"ADGRL2",5.04878398351868e-11,0.636799791257366,0.883,0.684,1.63191844699274e-06,"0","ADGRL2"
"RPS9",5.6727335028047e-11,0.373849835678383,0.993,0.994,1.83359765011156e-06,"0","RPS9"
