x,y,z,shot,tissue
59.868229177167,-33.9611499107889,-82.9108549733878,193_G,EmDisc
11.1955469429304,40.5097582253713,-94.9950018735669,193_U,EmDisc
39.1828398705065,16.2172254111627,-98.5701590066684,193_V,EmDisc
71.168823,-10.484328,-59.196194,193_Y,EmDisc
56.3126413838719,-28.7090329621174,-94.1070327896405,193_Z,EmDisc
117.963535754324,-59.4622672021009,67.6321359302699,204_AB,EmDisc
-135.372787828639,-26.7124625543842,75.5027964650682,204_AE,EmDisc
-71.5874807752227,-35.3051076892815,74.5407990672372,204_B,EmDisc
34.4525378858888,-48.0178965095899,71.6501383184737,204_E,EmDisc
31.7368275419603,45.7025811103926,73.5833214814526,204_F,EmDisc
-109.163733034678,-36.2062489304446,75.0967100169456,204_G,EmDisc
-9.2327756131703,-41.8053529021082,72.9713160669507,204_L,EmDisc
-104.491475112727,-35.0220713980026,74.932656935326,204_T,EmDisc
81.468298731657,-54.6013445997793,75.9158063810855,204_X,EmDisc
96.428137308672,6.39666077046946,71.1173274978605,204_Z,EmDisc
-60.0396291361177,46.3151946192491,122.582690294271,207_G,EmDisc
-19.4416133846218,47.5791086164321,129.452646824993,207_H,EmDisc
59.5416241217246,39.920591635967,122.947512542942,207_I,EmDisc
103.489406005468,23.3481987824719,122.39140166367,207_J,EmDisc
-98.9265914777121,25.5207058224364,122.848449896327,207_K,EmDisc
-122.886289660927,3.98814396726252,123.996109315188,207_L,EmDisc
97.849892,20.190418,198.422333,213_N,EmDisc
40.2120951847289,22.3648203861551,217.174625616125,213_O,EmDisc
-21.4302831611069,15.0836136888361,217.152066573504,213_P,EmDisc
-67.8707903187068,20.0189069636686,-92.0493500699981,193_O,EmDisc
102.027304963335,25.1553703995768,125.762541853431,207_AU,EmDisc
-151.624852842184,-51.9204731779741,-90.0049189819913,193_AD,ExMes
-207.874699393705,-52.8362761457343,-91.1997453049299,193_S,ExMes
-125.145965571186,-84.9385417222751,75.6687434301073,204_AK,ExMes
-239.317801198366,-48.9140726631507,28.4427882176477,204_AU,ExMes
-160.47694603392,-68.5127313166948,74.107831256545,204_S,ExMes
-182.601359791919,-39.3809346305572,111.167804329181,207_AT,ExMes
-82.0417478498677,-101.741542530189,-99.0543082369368,193_A,Tb
-7.49510051199104,-89.915357693834,-104.081444989719,193_AC,Tb
83.3678005043443,-87.462412067648,-102.569809448088,193_AF,Tb
257.13996546875,-29.7268039806075,-111.773424194839,193_AI,Tb
244.086903200146,-40.5471728683878,-128.942503915216,193_AJ,Tb
99.9259787470164,-88.2052757824101,-106.255727881344,193_AK,Tb
104.123408390026,-230.202909134609,-79.823710849455,193_AL,Tb
42.7062767026187,-86.026847144267,-99.3304748688587,193_AM,Tb
54.3466220137548,-86.1027920571712,-98.1890351805755,193_AN,Tb
0.0836339412088578,-90.1530858576102,-95.6762429025703,193_AQ,Tb
-39.2573913943064,-94.8532231282317,-105.020623651521,193_B,Tb
-161.399693191456,-108.160124196572,-105.503006847533,193_C,Tb
-129.557372645674,-104.747861887689,-102.959603126854,193_H,Tb
-175.642808729388,-108.702598940375,-111.046431978994,193_T,Tb
250.091157894253,-149.554459264416,107.396353980606,204_AG,Tb
143.55491385978,-173.515332052698,79.4434912130358,204_AH,Tb
270.217935090585,-157.634485793292,74.9079129070898,204_AL,Tb
-140.88578888495,-117.50445485617,73.4089955734665,204_M,Tb
-29.4860751378606,-197.250424754104,75.7162695276665,204_O,Tb
201.305334624184,19.6608567210598,121.355598912554,207_AM,Tb
236.273486205282,35.1030718682057,122.528991270841,207_AN,Tb
129.955164329982,-57.6895221635397,108.566150673283,207_AO,Tb
199.645628822557,-104.009258084713,159.261751546851,207_AP,Tb
-175.712606565102,-69.9718990124266,128.475003415514,207_AQ,Tb
-196.12254848455,-70.1637195871355,103.455237231655,207_AR,Tb
-221.26082823644,-42.510762049727,110.487229049051,207_AS,Tb
-130.679289468955,-111.221301020813,134.929254821518,207_U,Tb
142.901651793206,-39.5811022112423,126.395291274033,207_W,Tb
248.473261203004,-79.7253006198347,163.720090781685,207_Y,Tb
376.810347150853,55.2536652894846,203.99064540804,213_AA,Tb
339.999470841565,57.6217335690968,213.487734740564,213_AB,Tb
-287.104806864187,-11.3463214555693,189.192744897503,213_AE,Tb
-236.676598148927,-50.7534879719904,217.57271782511,213_AG,Tb
-174.013190470865,-68.6186216836398,216.753190446371,213_AH,Tb
-117.267600560011,-128.591980236604,207.803147911144,213_AK,Tb
-315.055624082818,-63.4622174080551,216.877491158115,213_AQ,Tb
-452.508222369896,-66.2264903188649,210.145371803097,213_AR,Tb
-374.172715037485,-55.3116447220646,210.867765007919,213_AS,Tb
-544.319637223096,-72.7492489206998,212.141418202968,213_AT,Tb
141.946687319104,-45.3504605065948,203.848571410667,213_V,Tb
103.887012643108,37.0402735537117,-97.8217555603972,193_W,VE
-61.5496598812136,71.206403655886,78.7107891529682,204_A,VE
-222.742676759794,-33.5305436871538,72.8313936575105,204_AT,VE
77.7135390503926,60.0437104954734,75.8686285454394,204_K,VE
-142.622429682905,4.57186180041121,124.226724707199,207_B,VE
-86.3302834361741,54.7214973866277,118.122100979859,207_C,VE
-41.1861528924692,100.505522122036,123.888595813092,207_D,VE
21.5923381598559,92.6658386259358,123.747137728074,207_E,VE
92.1875722755349,82.9362489004715,121.747613588184,207_F,VE
29.733641,90.302567,215.736282,213_A,VE
71.4916241764885,78.4215009063112,192.322316779927,213_E,VE
-16.3470266836896,91.8511495748929,214.693978169774,213_F,VE
-89.3346168991123,97.4192507310751,215.281313832961,213_G,VE
-114.401299747215,78.7753857795782,216.974785916735,213_M,VE
-84.0477882667637,-33.2228163708423,-118.888664798932,193_N,Am
-88.0660630372854,-34.485484898238,-108.379324762323,193_P,Am
46.4174170016761,-56.1573881127851,125.06713601511,207_N,Am
-155.072723,31.067633,76.271065,204_AN,sys_prot
-155.072723,31.067633,76.271065,204_AO,sys_prot
-168.848490029045,88.0520357015269,74.9665644652406,204_AV,sys_prot
-172.898991506335,41.1357585580436,78.713112114293,204_H,sys_prot
-173.255069325763,105.965528488303,75.4635622717059,204_I,sys_prot
-206.38664661437,78.7329978961046,77.6601013978858,204_J,sys_prot
-221.453537,49.714123,114.377411,207_Q,sys_prot
-194.332855,115.584686,190.686722,213_H,sys_prot
-208.387586466069,136.246873510176,201.217962627105,213_I,sys_prot
-241.316378154143,187.892778963397,191.973676660694,213_J,sys_prot
-246.298041073594,183.545061499433,203.537845034824,213_K,sys_prot
-270.391791094284,169.772229064616,208.991377744579,213_L,sys_prot
