26717,26713,26714
26717,26714,26718
26710,26709,26717
26710,26717,26718
26718,26714,26715
26718,26715,26719
26711,26710,26718
26711,26718,26719
26719,26715,26716
26719,26716,26720
26712,26711,26719
26712,26719,26720
26720,26716,26835
26720,26835,26721
26768,26712,26720
26768,26720,26721
26724,26723,26749
26724,26749,26725
26727,26724,26725
26727,26725,26728
26728,26725,26726
26728,26726,26729
26729,26726,26755
26729,26755,26730
26731,26727,26728
26731,26728,26732
26732,26728,26729
26732,26729,26733
26733,26729,26730
26733,26730,26734
26734,26730,26760
26734,26760,26735
26736,26733,26734
26736,26734,26737
26737,26734,26735
26737,26735,26738
26739,26737,26738
26739,26738,26740
26741,26709,26710
26741,26710,26742
26742,26710,26711
26742,26711,26743
26743,26711,26712
26743,26712,26744
26749,26723,26743
26749,26743,26744
26744,26712,26768
26744,26768,26745
26747,26742,26743
26747,26743,26748
26748,26743,26723
26748,26723,26724
26749,26744,26745
26749,26745,26750
26726,26725,26749
26726,26749,26750
26750,26745,26746
26750,26746,26751
26755,26726,26750
26755,26750,26751
26751,26746,26773
26751,26773,26752
26753,26747,26748
26753,26748,26754
26754,26748,26724
26754,26724,26727
26755,26751,26752
26755,26752,26756
26760,26730,26755
26760,26755,26756
26757,26754,26727
26757,26727,26731
26758,26757,26731
26758,26731,26732
26759,26758,26732
26759,26732,26733
26761,26759,26733
26761,26733,26736
26762,26761,26736
26762,26736,26763
26763,26736,26737
26763,26737,26739
26764,26763,26739
26764,26739,26740
26765,26763,26764
26765,26764,26766
26767,26717,26709
26767,26709,26741
26768,26721,26722
26768,26722,26769
26746,26745,26768
26746,26768,26769
26769,26722,27002
26769,27002,26770
26773,26746,26769
26773,26769,26770
26771,26767,26741
26771,26741,26772
26772,26741,26742
26772,26742,26747
26774,26772,26747
26774,26747,26753
26775,26774,26753
26775,26753,26754
26776,26775,26754
26776,26754,26757
26777,26776,26757
26777,26757,26758
26778,26777,26758
26778,26758,26759
26779,26778,26759
26779,26759,26761
26780,26779,26761
26780,26761,26762
26781,26780,26762
26781,26762,26763
26782,26781,26763
26782,26763,26765
26783,26782,26765
26783,26765,26766
26738,26735,26784
26738,26784,26785
26740,26738,26785
26740,26785,26786
26756,26752,26803
26756,26803,26787
26760,26756,26787
26760,26787,26788
26784,26735,26760
26784,26760,26788
26788,26787,26807
26788,26807,26789
26785,26784,26788
26785,26788,26791
26791,26788,26789
26791,26789,26792
26792,26789,26790
26792,26790,26793
26794,26764,26740
26794,26740,26786
26786,26785,26791
26786,26791,26794
26794,26791,26792
26794,26792,26795
26795,26792,26793
26795,26793,26796
26766,26764,26794
26766,26794,26797
26797,26794,26795
26797,26795,26798
26798,26795,26796
26798,26796,26799
26773,26770,26800
26773,26800,26801
26803,26752,26773
26803,26773,26801
26801,26800,27108
26801,27108,26802
26803,26801,26802
26803,26802,26804
26807,26787,26803
26807,26803,26804
26804,26802,27112
26804,27112,26805
26807,26804,26805
26807,26805,26808
26790,26789,26807
26790,26807,26808
26808,26805,26806
26808,26806,26809
26793,26790,26808
26793,26808,26810
26810,26808,26809
26810,26809,26811
26796,26793,26810
26796,26810,26812
26812,26810,26811
26812,26811,26813
26813,26811,27117
26813,27117,26814
26815,26783,26766
26815,26766,26797
26816,26815,26797
26816,26797,26798
26817,26816,26798
26817,26798,26799
26799,26796,26812
26799,26812,26817
26817,26812,26813
26817,26813,26818
26818,26813,26814
26818,26814,26819
26820,26815,26816
26820,26816,26821
26821,26816,26817
26821,26817,26822
26822,26817,26818
26822,26818,26823
26828,26824,26825
26828,26825,26829
26714,26713,26828
26714,26828,26829
26829,26825,26826
26829,26826,26830
26715,26714,26829
26715,26829,26830
26830,26826,26827
26830,26827,26831
26716,26715,26830
26716,26830,26831
26831,26827,26845
26831,26845,26832
26835,26716,26831
26835,26831,26832
26834,26828,26713
26834,26713,26717
26835,26832,26833
26835,26833,26836
26722,26721,26835
26722,26835,26836
26836,26833,26850
26836,26850,26837
27002,26722,26836
27002,26836,26837
26825,26824,26838
26825,26838,26839
26826,26825,26839
26826,26839,26840
26827,26826,26840
26827,26840,26841
26845,26827,26841
26845,26841,26842
26844,26838,26824
26844,26824,26828
26845,26842,26863
26845,26863,26846
26833,26832,26845
26833,26845,26846
26850,26833,26846
26850,26846,26847
26848,26843,26844
26848,26844,26849
26849,26844,26828
26849,26828,26834
26839,26838,26854
26839,26854,26855
26855,26851,26852
26855,26852,26856
26840,26839,26855
26840,26855,26856
26856,26852,26853
26856,26853,26857
26841,26840,26856
26841,26856,26857
26857,26853,26872
26857,26872,26858
26842,26841,26857
26842,26857,26858
26863,26842,26858
26863,26858,26859
26844,26843,26861
26844,26861,26862
26862,26854,26838
26862,26838,26844
26863,26859,26860
26863,26860,26864
26847,26846,26863
26847,26863,26864
26865,26861,26843
26865,26843,26848
26852,26851,26866
26852,26866,26867
26853,26852,26867
26853,26867,26868
26872,26853,26868
26872,26868,26869
26855,26854,26870
26855,26870,26871
26871,26866,26851
26871,26851,26855
26872,26869,26887
26872,26887,26873
26859,26858,26872
26859,26872,26873
26860,26859,26873
26860,26873,26874
26862,26861,26875
26862,26875,26876
26876,26870,26854
26876,26854,26862
26877,26875,26861
26877,26861,26865
26866,26871,26878
26866,26878,26879
26867,26866,26879
26867,26879,26880
26868,26867,26880
26868,26880,26881
26869,26868,26881
26869,26881,26882
26887,26869,26882
26887,26882,26883
26870,26876,26885
26870,26885,26886
26886,26878,26871
26886,26871,26870
26887,26883,26884
26887,26884,26888
26874,26873,26887
26874,26887,26888
26889,26885,26876
26889,26876,26875
26890,26889,26875
26890,26875,26877
26879,26878,26894
26879,26894,26895
26895,26891,26892
26895,26892,26896
26880,26879,26895
26880,26895,26896
26896,26892,26893
26896,26893,26897
26881,26880,26896
26881,26896,26897
26897,26893,26913
26897,26913,26898
26882,26881,26897
26882,26897,26898
26883,26882,26898
26883,26898,26899
26884,26883,26899
26884,26899,26900
26886,26885,26901
26886,26901,26902
26902,26894,26878
26902,26878,26886
26903,26901,26885
26903,26885,26889
26904,26903,26889
26904,26889,26890
26892,26891,26905
26892,26905,26906
26893,26892,26906
26893,26906,26907
26913,26893,26907
26913,26907,26908
26894,26902,26910
26894,26910,26911
26895,26894,26911
26895,26911,26912
26912,26905,26891
26912,26891,26895
26913,26908,26909
26913,26909,26914
26899,26898,26913
26899,26913,26914
26900,26899,26914
26900,26914,26915
26916,26910,26902
26916,26902,26901
26917,26916,26901
26917,26901,26903
26918,26917,26903
26918,26903,26904
26905,26912,26919
26905,26919,26920
26906,26905,26920
26906,26920,26921
26907,26906,26921
26907,26921,26922
26908,26907,26922
26908,26922,26923
26909,26908,26923
26909,26923,26924
26911,26910,26925
26911,26925,26926
26926,26919,26912
26926,26912,26911
26914,26909,26924
26914,26924,26927
26915,26914,26927
26915,26927,26928
26929,26925,26910
26929,26910,26916
26930,26929,26916
26930,26916,26917
26931,26930,26917
26931,26917,26918
26932,26931,26918
26932,26918,27081
26850,26847,26934
26850,26934,26935
26933,26837,26850
26933,26850,26935
26935,26934,26940
26935,26940,26936
27133,26933,26935
27133,26935,26936
26864,26860,26944
26864,26944,26938
26934,26847,26864
26934,26864,26938
26940,26934,26938
26940,26938,26939
26940,26939,26948
26940,26948,26941
26937,26936,26940
26937,26940,26941
27160,26937,26941
27160,26941,26942
26944,26860,26874
26944,26874,26943
26944,26943,26954
26944,26954,26945
26939,26938,26944
26939,26944,26945
26948,26939,26945
26948,26945,26946
26948,26946,26947
26948,26947,26949
26942,26941,26948
26942,26948,26949
26949,26947,26958
26949,26958,26950
27184,26942,26949
27184,26949,26950
26888,26884,26962
26888,26962,26952
26943,26874,26888
26943,26888,26952
26954,26943,26952
26954,26952,26953
26954,26953,26966
26954,26966,26955
26946,26945,26954
26946,26954,26955
26947,26946,26955
26947,26955,26956
26958,26947,26956
26958,26956,26957
26958,26957,26970
26958,26970,26959
26951,26950,26958
26951,26958,26959
27201,26951,26959
27201,26959,26960
26962,26884,26900
26962,26900,26961
26962,26961,26975
26962,26975,26963
26953,26952,26962
26953,26962,26963
26966,26953,26963
26966,26963,26964
26966,26964,26965
26966,26965,26967
26956,26955,26966
26956,26966,26967
26967,26965,26979
26967,26979,26968
26957,26956,26967
26957,26967,26968
26970,26957,26968
26970,26968,26969
26970,26969,26983
26970,26983,26971
26960,26959,26970
26960,26970,26971
27213,26960,26971
27213,26971,26972
26961,26900,26915
26961,26915,26973
26975,26961,26973
26975,26973,26974
26975,26974,26988
26975,26988,26976
26964,26963,26975
26964,26975,26976
26965,26964,26976
26965,26976,26977
26979,26965,26977
26979,26977,26978
26979,26978,26992
26979,26992,26980
26969,26968,26979
26969,26979,26980
26983,26969,26980
26983,26980,26981
26983,26981,26982
26983,26982,26984
26972,26971,26983
26972,26983,26984
26973,26915,26928
26973,26928,26985
26974,26973,26985
26974,26985,26986
26988,26974,26986
26988,26986,26987
26988,26987,27506
26988,27506,26989
26977,26976,26988
26977,26988,26989
26978,26977,26989
26978,26989,26990
26992,26978,26990
26992,26990,26991
26992,26991,27510
26992,27510,26993
26981,26980,26992
26981,26992,26993
26982,26981,26993
26982,26993,26994
26984,26982,26998
26984,26998,26995
27311,26972,26984
27311,26984,26995
26998,26982,26994
26998,26994,26997
26998,26997,27583
26998,27583,26999
26996,26995,26998
26996,26998,26999
27332,26996,26999
27332,26999,27000
27001,26834,26717
27001,26717,26767
27003,27001,26767
27003,26767,26771
27004,27003,26771
27004,26771,26772
27005,27004,26772
27005,26772,26774
27006,27005,26774
27006,26774,26775
27007,27006,26775
27007,26775,26776
27008,27007,26776
27008,26776,26777
27009,27008,26777
27009,26777,26778
27010,27009,26778
27010,26778,26779
27011,27010,26779
27011,26779,26780
27012,27011,26780
27012,26780,26781
27013,27012,26781
27013,26781,26782
27014,27013,26782
27014,26782,26783
27015,26849,26834
27015,26834,27001
27016,27015,27001
27016,27001,27003
27017,27016,27003
27017,27003,27004
27018,27017,27004
27018,27004,27005
27019,27018,27005
27019,27005,27006
27020,27019,27006
27020,27006,27007
27021,27020,27007
27021,27007,27008
27022,27021,27008
27022,27008,27009
27023,27022,27009
27023,27009,27010
27024,27023,27010
27024,27010,27011
27025,27024,27011
27025,27011,27012
27026,27025,27012
27026,27012,27013
27027,27026,27013
27027,27013,27014
27028,26865,26848
27028,26848,27029
27029,26848,26849
27029,26849,27015
27030,27029,27015
27030,27015,27016
27031,27030,27016
27031,27016,27017
27032,27031,27017
27032,27017,27018
27033,27032,27018
27033,27018,27019
27034,27033,27019
27034,27019,27020
27035,27034,27020
27035,27020,27021
27036,27035,27021
27036,27021,27022
27037,27036,27022
27037,27022,27023
27038,27037,27023
27038,27023,27024
27039,27038,27024
27039,27024,27025
27040,27039,27025
27040,27025,27026
27041,27040,27026
27041,27026,27027
27042,26877,26865
27042,26865,27028
27043,27042,27028
27043,27028,27029
27044,27043,27029
27044,27029,27030
27045,27044,27030
27045,27030,27031
27046,27045,27031
27046,27031,27032
27047,27046,27032
27047,27032,27033
27048,27047,27033
27048,27033,27034
27049,27048,27034
27049,27034,27035
27050,27049,27035
