shot,tissue,x,y,z
E25A_184_A,EmDisc,-725.1148195,-540.8770415,141.4652366
E25A_184_B,EmDisc,-662.6716218,-653.4957259,154.6194326
E25A_184_C,EmDisc,-589.0735683,-593.6338654,152.5173444
E25A_184_D,EmDisc,-621.0903972,-459.3375886,135.271938
E25A_184_E,EmDisc,-594.0340142,-744.792962,148.3788413
E25A_166_G,EmDisc_stalk,-169.5634669,438.4064076,-153.1470172
E25A_169_AJ,EmDisc_stalk,-240.9935442,-17.59294077,-78.61617517
E25A_169_O,EmDisc_stalk,-227.059437,71.47758225,-107.8736452
E25A_169_P,EmDisc_stalk,-152.0020996,215.0719734,-71.36643641
E25A_174_D,EmDisc_stalk,-177.5926673,113.8616952,-69.97503091
E25A_174_E,EmDisc_stalk,-183.8945715,4.397827213,-13.31574456
E25A_166_L,ExMes,8.328176254,-353.027254,-160.8609694
E25A_166_M,ExMes,-11.92382991,-602.4816847,-187.8451794
E25A_169_AK,ExMes,16.12523226,-297.6528284,-96.02789748
