shot,tissue,x,y,z
243_E,Am,2.280977,207.053024,-1.121847
243_I,Am,-113.7917852,66.30375783,-18.48736009
243_K,Am,-119.7029854,8.999118396,-16.90715763
246_G,Am,-156.504207,75.44879305,40.91789929
246_I,Am,-245.7698111,-54.74381426,33.66773755
246_K,Am,-270.0127139,-177.3131418,30.58533407
246_AS,Am,52.69527697,218.4167864,29.00636343
249_U,Am,-144.1740385,-195.7199552,97.08780018
249_W,Am,-159.3249479,-137.4385377,98.59045228
255_F,Am,165.829588,224.7539254,168.9127821
255_J,Am,6.699252887,181.6909692,171.6587578
255_Z,Am,226.029626,234.6055653,163.7165126
237_N,Am,-188.724559,-240.0411405,-82.26777333
234_G,Am,-171.2586356,-45.47281593,-151.0228817
246_E,Am,-56.57539783,180.6241657,31.94156519
246_M,Am,-190.2427853,-286.2173681,29.84961291
249_I,Am,102.4584391,200.3828282,77.64822384
249_AA,Am,-183.4021018,43.34562839,78.00180143
240_I,Am,-85.30282184,113.9346093,-65.18110254
255_H,Am,93.38177621,202.5759599,167.7549331
237_J,Am,-160.9033985,-79.83815244,-114.074081
234_D,Am,-54.33182572,81.32182557,-154.9661501
234_H,Am,-183.1349094,-86.9989948,-145.309691
240_D,Am,-152.335277,-57.6466232,-64.22291419
240_H,Am,-108.2356999,73.9542318,-65.06054643
240_J,Am,-67.58318058,141.1304621,-66.57091737
240_L,Am,-22.42941825,187.1306384,-67.10521184
243_D,Am,-18.31424855,195.4497613,-1.716999542
243_F,Am,-59.92748355,149.4477712,-11.61721475
243_H,Am,-97.18113755,92.42082532,-19.17852426
243_L,Am,-138.0287175,-23.34129544,-13.10801761
243_N,Am,-166.923834,-87.93672022,-23.46630795
246_F,Am,-100.2313749,138.171625,40.77987063
246_J,Am,-267.6004791,-117.470021,34.50403924
249_V,Am,-166.1838645,-190.578679,92.80407403
249_AB,Am,-102.1270742,106.5358908,77.69996849
255_C,Am,202.7327295,232.9625621,169.8622836
255_E,Am,155.7499929,219.9457978,172.2476195
255_G,Am,81.7442727,196.3566166,173.871116
255_M,Am,-73.27715838,69.58305015,180.527882
237_E,Am,-81.60693136,74.82401256,-130.4881926
237_I,Am,-146.3088934,-39.99417766,-112.1215791
237_K,Am,-165.9629019,-125.5524908,-115.0590431
237_M,Am,-190.9938653,-208.4310979,-94.21948331
237_Q,Am,-114.4139999,-211.3328097,-106.5490498
234_AE,Stalk,150.750292,135.2487423,-167.203035
234_AI,Stalk,40.93808007,168.9574617,-167.7164828
237_AD,Stalk,108.0679583,108.2580716,-114.4898264
237_AF,Stalk,142.9245613,96.79252658,-101.4811279
246_AG,Stalk,246.4448439,130.6461229,30.49021379
246_AI,Stalk,219.8305838,157.0604042,33.73040319
234_AF,Stalk,154.8753505,156.4698251,-160.4641779
240_AL,Stalk,196.3176646,173.4871772,-70.59804272
246_AF,Stalk,273.8654698,196.0385346,34.09377963
246_AJ,Stalk,230.7150601,224.1908616,29.21475456
237_AE,Stalk,150.4491954,75.91639134,-114.8577044
234_AS,Tb,-216.2582572,-19.38383382,-152.6987506
246_C,Tb,-20.94916546,332.1629867,21.84993513
252_A,Tb,51.64606743,263.9834328,117.234549
255_B,Tb,186.7741119,311.0272639,177.9763469
255_P,Tb,105.5691216,272.7458656,170.341565
237_B,Tb,245.6290262,280.3479099,-112.181109
234_AQ,Tb,114.5136616,284.0724119,-160.7019309
234_AU,Tb,38.97828721,263.1373781,-169.1319016
243_M,Tb,-237.5597037,-26.81673346,-21.55861662
255_AT,Tb,-113.8210898,183.1177647,167.1938308
252_K,Tb,40.12375252,255.5152305,131.8413407
234_AJ,Tb,-48.3231959,186.760437,-185.4944822
234_AP,Tb,141.5002364,285.4779873,-161.1046857
234_AR,Tb,-135.1747387,112.0962601,-172.1842459
234_AT,Tb,-248.2752478,-75.81646194,-164.004595
234_AV,Tb,-32.52027291,237.1652339,-159.1093736
243_AV,Tb,-206.7473632,36.13607114,-16.80077276
246_B,Tb,58.14506557,398.8279937,24.50745839
252_H,Tb,-69.68680938,214.6444029,120.6656874
252_J,Tb,-29.869833,225.1461396,120.1628708
252_L,Tb,79.35063469,267.0000971,130.7796839
255_A,Tb,231.1575169,343.3765636,185.123435
255_Q,Tb,76.57274504,263.5901139,170.8870271
255_AS,Tb,-47.88099441,224.996273,171.2369546
237_A,Tb,-2.300554143,365.8224247,-132.0440486
234_K,ExMes,-100.4065023,-157.6394897,-164.0827807
234_Q,ExMes,24.80876466,-102.8413529,-173.0886387
234_S,ExMes,90.1517135,-0.105685909,-170.279909
234_U,ExMes,116.9043933,-50.94018895,-155.7619329
234_W,ExMes,148.6114488,-0.526176067,-152.1515201
234_Y,ExMes,187.6973181,32.81134825,-140.5433266
234_AA,ExMes,132.8057524,78.92965841,-162.6144315
234_AM,ExMes,100.5550938,206.1805407,-150.3285533
234_AO,ExMes,183.3021268,259.5110115,-171.7865414
240_AQ,ExMes,-142.1715404,155.3689422,-60.78713744
