,V1,V2,V3,V4
CME25A7812711Aligned.sortedByCoord.out.bam,P1_E15B_193_AT,CS5,Gland_CS5,1
CME25A7812707Aligned.sortedByCoord.out.bam,P1_E15B_193_AP,CS5,Tb_CS5_Stroma,1
CME25A7812705Aligned.sortedByCoord.out.bam,P1_E15B_193_AN,CS5,Tb_CS5,1
CME25A7812706Aligned.sortedByCoord.out.bam,P1_E15B_193_AO,CS5,Tb_CS5_Stroma,1
CME25A7812708Aligned.sortedByCoord.out.bam,P1_E15B_193_AQ,CS5,Tb_CS5,1
CME25A7812699Aligned.sortedByCoord.out.bam,P1_E15B_193_AH,CS5,Tb_CS5_ExMes,1
CME25A7812701Aligned.sortedByCoord.out.bam,P1_E15B_193_AJ,CS5,Tb_CS5,1
CME25A7812703Aligned.sortedByCoord.out.bam,P1_E15B_193_AL,CS5,Tb_CS5_Stroma,1
CME25A7812704Aligned.sortedByCoord.out.bam,P1_E15B_193_AM,CS5,Tb_CS5,1
CME25A7812702Aligned.sortedByCoord.out.bam,P1_E15B_193_AK,CS5,Tb_CS5,1
CME25A7812700Aligned.sortedByCoord.out.bam,P1_E15B_193_AI,CS5,Tb_CS5,1
CME25A7812695Aligned.sortedByCoord.out.bam,P1_E15B_193_AD,CS5,ExMes_CS5,1
CME25A7812696Aligned.sortedByCoord.out.bam,P1_E15B_193_AE,CS5,Tb_CS5_Gland,1
CME25A7812698Aligned.sortedByCoord.out.bam,P1_E15B_193_AG,CS5,Tb_CS5_Am,1
CME25A7812697Aligned.sortedByCoord.out.bam,P1_E15B_193_AF,CS5,Tb_CS5,1
CME25A7812693Aligned.sortedByCoord.out.bam,P1_E15B_193_AB,CS5,ExMes_CS5_Am,1
CME25A7812694Aligned.sortedByCoord.out.bam,P1_E15B_193_AC,CS5,Tb_CS5,1
CME25A7812688Aligned.sortedByCoord.out.bam,P1_E15B_193_W,CS5,VE_CS5_EmDisc,1
CME25A7812692Aligned.sortedByCoord.out.bam,P1_E15B_193_AA,CS5,ExMes_CS5_TbEmDisc,1
CME25A7812690Aligned.sortedByCoord.out.bam,P1_E15B_193_Y,CS5,EmDisc_CS5_VE,1
CME25A7812689Aligned.sortedByCoord.out.bam,P1_E15B_193_X,CS5,VE_CS5,1
CME25A7812691Aligned.sortedByCoord.out.bam,P1_E15B_193_Z,CS5,Am_CS5,1
CME25A7812687Aligned.sortedByCoord.out.bam,P1_E15B_193_V,CS5,EmDisc_CS5,1
CME25A7812686Aligned.sortedByCoord.out.bam,P1_E15B_193_U,CS5,EmDisc_CS5,1
CME25A7812680Aligned.sortedByCoord.out.bam,P1_E15B_193_O,CS5,Am_CS5_PGC,1
CME25A7812684Aligned.sortedByCoord.out.bam,P1_E15B_193_S,CS5,ExMes_CS5_Tb,1
CME25A7812685Aligned.sortedByCoord.out.bam,P1_E15B_193_T,CS5,Tb_CS5,1
CME25A7812681Aligned.sortedByCoord.out.bam,P1_E15B_193_P,CS5,Am_CS5,1
CME25A7812672Aligned.sortedByCoord.out.bam,P1_E15B_193_G,CS5,EmDisc_CS5,1
CME25A7812679Aligned.sortedByCoord.out.bam,P1_E15B_193_N,CS5,Am_CS5,1
CME25A7812677Aligned.sortedByCoord.out.bam,P1_E15B_193_L,CS5,ExMes_CS5_Tb,1
CME25A7812678Aligned.sortedByCoord.out.bam,P1_E15B_193_M,CS5,F_CS5,1
CME25A7812671Aligned.sortedByCoord.out.bam,P1_E15B_193_F,CS5,Am_CS5_ExMesPGC,1
CME25A7812676Aligned.sortedByCoord.out.bam,P1_E15B_193_K,CS5,SYS_CS5,1
CME25A7812670Aligned.sortedByCoord.out.bam,P1_E15B_193_E,CS5,Tb_CS5,1
CME25A7812673Aligned.sortedByCoord.out.bam,P1_E15B_193_H,CS5,Tb_CS5,1
CME25A7812668Aligned.sortedByCoord.out.bam,P1_E15B_193_C,CS5,Tb_CS5,1
CME25A7812667Aligned.sortedByCoord.out.bam,P1_E15B_193_B,CS5,Tb_CS5,1
CME25A7812666Aligned.sortedByCoord.out.bam,P1_E15B_193_A,CS5,Gland_CS5_Tb,1
CME25A7851601Aligned.sortedByCoord.out.bam,P2_E15B_213_E,CS5,VE_CS5,1
CME25A7851560Aligned.sortedByCoord.out.bam,P2_E15B_204_AK,CS5,ExMes_CS5,1
CME25A7851588Aligned.sortedByCoord.out.bam,P2_E15B_213_AM,CS5,Tb_abembryonal_CS5,1
CME25A7851628Aligned.sortedByCoord.out.bam,P2_E15B_213_AR,CS5,Tb_CS5,1
CME25A7851635Aligned.sortedByCoord.out.bam,P2_E15B_213_AG,CS5,Tb_CS5,1
CME25A7851567Aligned.sortedByCoord.out.bam,P2_E15B_204_Z,CS5,EmDisc_CS5,1
CME25A7851595Aligned.sortedByCoord.out.bam,P2_E15B_213_AB,CS5,Tb_CS5,1
CME25A7851559Aligned.sortedByCoord.out.bam,P2_E15B_204_Y,CS5,VE_CS5_EmDisc,1
CME25A7851644Aligned.sortedByCoord.out.bam,P2_E15B_213_AT,CS5,Tb_CS5,1
CME25A7851597Aligned.sortedByCoord.out.bam,P2_E15B_204_F,CS5,EmDisc_CS5,1
CME25A7851618Aligned.sortedByCoord.out.bam,P2_E15B_213_S,CS5,ExMes_CS5_Am_EmDisc,1
CME25A7851603Aligned.sortedByCoord.out.bam,P2_E15B_213_AC,CS5,Stroma_CS5_Tb,1
CME25A7851585Aligned.sortedByCoord.out.bam,P2_E15B_213_C,CS5,EmDisc_CS5_VE,1
CME25A7851599Aligned.sortedByCoord.out.bam,P2_E15B_204_AD,CS5,Tb_CS5_ExMes,1
CME25A7851627Aligned.sortedByCoord.out.bam,P2_E15B_213_AF,CS5,Tb_CS5_ExMes,1
CME25A7851626Aligned.sortedByCoord.out.bam,P2_E15B_213_T,CS5,ExMes_CS5_Am,1
CME25A7851580Aligned.sortedByCoord.out.bam,P2_E15B_213_AL,CS5,Gland_CS5,1
CME25A7851583Aligned.sortedByCoord.out.bam,P2_E15B_204_AB,CS5,EmDisc_CS5_Am,1
CME25A7851587Aligned.sortedByCoord.out.bam,P2_E15B_213_AA,CS5,Tb_CS5,1
CME25A7851604Aligned.sortedByCoord.out.bam,P2_E15B_213_AO,CS5,Tb_abembryonal_CS5,1
CME25A7851576Aligned.sortedByCoord.out.bam,P2_E15B_204_AM,CS5,Tb_CS5_ExMe,1
CME25A7851602Aligned.sortedByCoord.out.bam,P2_E15B_213_Q,CS5,EmDisc_CS5_Am,1
CME25A7851575Aligned.sortedByCoord.out.bam,P2_E15B_204_AA,CS5,ExMes_CS5_EmDisc,1
CME25A7851648Aligned.sortedByCoord.out.bam,P2_E15B_204_AV,CS5,SYS_CS5,1
CME25A7851568Aligned.sortedByCoord.out.bam,P2_E15B_204_AL,CS5,Tb_CS5,1
CME25A7851615Aligned.sortedByCoord.out.bam,P2_E15B_204_AF,CS5,ExMes_CS5_Tb,1
CME25A7851569Aligned.sortedByCoord.out.bam,P2_E15B_213_A,CS5,VE_CS5,1
CME25A7851574Aligned.sortedByCoord.out.bam,P2_E15B_204_O,CS5,Tb_CS5,1
CME25A7851571Aligned.sortedByCoord.out.bam,P2_E15B_213_Y,CS5,Gland_CS5,1
CME25A7851640Aligned.sortedByCoord.out.bam,P2_E15B_204_AU,CS5,ExMes_CS5,1
CME25A7851586Aligned.sortedByCoord.out.bam,P2_E15B_213_O,CS5,EmDisc_CS5,1
CME25A7851598Aligned.sortedByCoord.out.bam,P2_E15B_204_R,CS5,Gland_CS5,1
CME25A7851622Aligned.sortedByCoord.out.bam,P2_E15B_204_U,CS5,EmDisc_CS5_VE,1
CME25A7851614Aligned.sortedByCoord.out.bam,P2_E15B_204_T,CS5,Am_CS5_ExMesEmDisc,1
CME25A7851631Aligned.sortedByCoord.out.bam,P2_E15B_204_AH,CS5,Tb_CS5,1
CME25A7851624Aligned.sortedByCoord.out.bam,P2_E15B_204_AS,CS5,Tb_CS5_ReStroma,1
CME25A7851613Aligned.sortedByCoord.out.bam,P2_E15B_204_H,CS5,SYS_CS5,1
CME25A7851577Aligned.sortedByCoord.out.bam,P2_E15B_213_B,CS5,EmDisc_CS5_VE,1
CME25A7851612Aligned.sortedByCoord.out.bam,P2_E15B_213_AP,CS5,Tb_abembryonal_CS5,1
CME25A7851607Aligned.sortedByCoord.out.bam,P2_E15B_204_AE,CS5,VE_CS5_EmDisc,1
CME25A7851637Aligned.sortedByCoord.out.bam,P2_E15B_204_K,CS5,VE_CS5,1
CME25A7851634Aligned.sortedByCoord.out.bam,P2_E15B_213_U,CS5,Tb_CS5_ExMes,1
CME25A7851594Aligned.sortedByCoord.out.bam,P2_E15B_213_P,CS5,EmDisc_CS5,1
CME25A7851572Aligned.sortedByCoord.out.bam,P2_E15B_213_AK,CS5,Tb_CS5,1
CME25A7851610Aligned.sortedByCoord.out.bam,P2_E15B_213_R,CS5,ExMes_CS5_AmEmDisc,1
CME25A7851623Aligned.sortedByCoord.out.bam,P2_E15B_204_AG,CS5,Tb_CS5,1
CME25A7851589Aligned.sortedByCoord.out.bam,P2_E15B_204_E,CS5,EmDisc_CS5,1
CME25A7851606Aligned.sortedByCoord.out.bam,P2_E15B_204_S,CS5,ExMes_CS5,1
CME25A7851617Aligned.sortedByCoord.out.bam,P2_E15B_213_G,CS5,VE_CS5,1
CME25A7851558Aligned.sortedByCoord.out.bam,P2_E15B_204_M,CS5,Tb_CS5,1
CME25A7851591Aligned.sortedByCoord.out.bam,P2_E15B_204_AC,CS5,ExMes_CS5_Am,1
CME25A7851557Aligned.sortedByCoord.out.bam,P2_E15B_204_A,CS5,VE_CS5,1
CME25A7851643Aligned.sortedByCoord.out.bam,P2_E15B_213_AH,CS5,Tb_CS5,1
CME25A7851650Aligned.sortedByCoord.out.bam,P2_E15B_213_W,CS5,Stroma_CS5,1
CME25A7851593Aligned.sortedByCoord.out.bam,P2_E15B_213_D,CS5,EmDisc_CS5_VE,1
CME25A7851651Aligned.sortedByCoord.out.bam,P2_E15B_213_AI,CS5,ExMes_CS5_Tb,1
CME25A7851590Aligned.sortedByCoord.out.bam,P2_E15B_204_Q,CS5,Gland_CS5,1
CME25A7851605Aligned.sortedByCoord.out.bam,P2_E15B_204_G,CS5,EmDisc_CS5,1
CME25A7851639Aligned.sortedByCoord.out.bam,P2_E15B_204_AI,CS5,Stroma_CS5,1
CME25A7851609Aligned.sortedByCoord.out.bam,P2_E15B_213_F,CS5,VE_CS5,1
CME25A7851561Aligned.sortedByCoord.out.bam,P2_E15B_210_A,CS5,EmDisc_CS5,1
CME25A7851616Aligned.sortedByCoord.out.bam,P2_E15B_204_AR,CS5,F_CS5,1
CME25A7851573Aligned.sortedByCoord.out.bam,P2_E15B_204_C,CS5,VE_CS5_EmDisc,1
CME25A7851647Aligned.sortedByCoord.out.bam,P2_E15B_204_AJ,CS5,Gland_CS5,1
CME25A7851632Aligned.sortedByCoord.out.bam,P2_E15B_204_AT,CS5,ExMes_CS5,1
CME25A7851646Aligned.sortedByCoord.out.bam,P2_E15B_204_X,CS5,EmDisc_CS5,1
CME25A7851645Aligned.sortedByCoord.out.bam,P2_E15B_204_L,CS5,EmDisc_CS5,1
CME25A7851581Aligned.sortedByCoord.out.bam,P2_E15B_204_D,CS5,EmDisc_CS5_Am,1
