shot,tissue,x,y,z
E15C1_206_AT,SYS,-146.4459634,19.77990707,-61.62206214
E15C1_206_AU,SYS,-127.861424,-6.317748046,-65.72448963
E15C1_206_AV,SYS,-117.4735529,-44.59503843,-63.79715535
E15C1_206_AW,SYS,-110.7741162,-88.79544096,-59.18449841
E15C1_206_AX,SYS,-70.41704645,-128.5557087,-48.30167954
E15C1_206_AY,SYS,-64.88351127,-80.46081004,-55.28556452
E15C1_206_AZ,SYS,-70.46528101,-29.92029275,-55.00574846
E15C1_206_BA,SYS,-101.2286139,37.33646474,-51.89275409
E15C1_206_BE,SYS,-182.7112894,67.22324854,-48.98419953
E15C1_206_BF,SYS,-164.5718534,14.08409985,-41.9090951
E15C1_208_AA,SYS,-97.1701695,-1.107027465,-24.50096222
E15C1_208_AC,SYS,-137.8899636,100.9133319,-24.33145024
E15C1_208_AD,SYS,-127.9246078,145.7064903,-21.49861943
E15C1_208_AH,SYS,-182.5743145,285.616033,-35.01873809
E15C1_208_AJ,SYS,-130.199614,53.81353621,-20.09798512
E15C1_208_AO,SYS,-127.7005009,187.895407,-21.52536533
E15C1_210_AA,SYS,-132.8009987,138.9433268,-7.630372205
E15C1_210_AM,SYS,-92.2413987,-149.0954178,6.927031575
E15C1_210_AN,SYS,-135.6339865,-43.99131323,19.28054507
E15C1_210_AO,SYS,-167.7755371,5.253182439,15.4938931
E15C1_210_AP,SYS,-140.0073781,89.73815848,10.12468828
E15C1_210_AQ,SYS,-146.6954625,143.9509304,15.20727651
E15C1_210_AR,SYS,-143.2306178,228.4444681,12.1136854
E15C1_210_AS,SYS,-114.0545435,-77.71960296,13.01448624
E15C1_210_AT,SYS,-89.6320081,-18.43949088,13.36164902
E15C1_210_Z,SYS,-132.553512,184.7754983,-6.620588431
E15C1_212_E,SYS,-87.36316406,-124.4043332,42.13153626
E15C1_212_F,SYS,-58.41224173,-89.68909203,40.16379823
E15C1_212_G,SYS,-76.94529772,-37.34569104,41.84594421
E15C1_212_H,SYS,-97.4949703,6.197776603,42.17761976
E15C1_212_L,SYS,-160.9024949,187.0945974,38.91109398
E15C1_212_M,SYS,-208.4363062,233.1983554,30.78806729
E15C1_212_N,SYS,-206.6748399,274.0543908,50.17597831
E15C1_212_T,SYS,-86.85094383,-154.5630241,41.4940225
E15C1_220_AK,SYS,-153.4089959,-114.5226223,147.601925
E15C1_220_AL,SYS,-96.18805222,-33.75103046,173.353032
E15C1_220_AM,SYS,-199.7674596,3.549518565,162.2193206
E15C1_220_AN,SYS,-172.1286222,100.0448096,164.0275595
E15C1_220_AP,SYS,-179.7303239,128.1475267,169.8517889
