"","marmoset_dataInVivo$LOC"
"ERR2851900Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C29"
"ERR2851901Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C30"
"ERR2851902Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C31"
"ERR2851903Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C32"
"ERR2851904Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C33"
"ERR2851905Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C34"
"ERR2851906Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C35"
"ERR2851907Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C36"
"ERR2851908Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C37"
"ERR2851909Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C38"
"ERR2851910Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C39"
"ERR2851911Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C40"
"X3536STDY8289195Aligned.sortedByCoord.out.bam","190215LBlaA1"
"X3536STDY8289196Aligned.sortedByCoord.out.bam","190215LBlaA2"
"X3536STDY8289197Aligned.sortedByCoord.out.bam","190215LBlaA3"
"X3536STDY8289200Aligned.sortedByCoord.out.bam","190215LBlaA6"
"X3536STDY8289201Aligned.sortedByCoord.out.bam","190215LBlaA7"
"X3536STDY8289202Aligned.sortedByCoord.out.bam","190215LBlaA8"
"X3536STDY8289206Aligned.sortedByCoord.out.bam","190215LBlaB4"
"X3536STDY8289212Aligned.sortedByCoord.out.bam","190215LBlaC2"
"X3536STDY8289213Aligned.sortedByCoord.out.bam","190215LBlaC3"
"X3536STDY8289214Aligned.sortedByCoord.out.bam","190215LBlaC4"
"X3536STDY8289215Aligned.sortedByCoord.out.bam","190215LBlaC5"
"X3536STDY8289216Aligned.sortedByCoord.out.bam","190215LBlaC6"
"X3536STDY8289221Aligned.sortedByCoord.out.bam","190215LBlaD3"
"X3536STDY8289223Aligned.sortedByCoord.out.bam","190215LBlaD5"
"X3536STDY8289224Aligned.sortedByCoord.out.bam","190215LBlaD6"
"X3536STDY8289225Aligned.sortedByCoord.out.bam","190215LBlaD7"
"X3536STDY8289227Aligned.sortedByCoord.out.bam","190215LBlaE1"
"X3536STDY8289228Aligned.sortedByCoord.out.bam","190215LBlaE2"
"X3536STDY8289230Aligned.sortedByCoord.out.bam","190215LBlaE4"
"X3536STDY8289231Aligned.sortedByCoord.out.bam","190215LBlaE5"
"X3536STDY8289232Aligned.sortedByCoord.out.bam","190215LBlaE6"
"X3536STDY8289233Aligned.sortedByCoord.out.bam","190215LBlaE7"
"X3536STDY8289234Aligned.sortedByCoord.out.bam","190215LBlaE8"
"X3536STDY8289235Aligned.sortedByCoord.out.bam","190215LBlaF1"
"X3536STDY8289236Aligned.sortedByCoord.out.bam","190215LBlaF2"
"X3536STDY8289237Aligned.sortedByCoord.out.bam","190215LBlaF3"
"X3536STDY8289238Aligned.sortedByCoord.out.bam","190215LBlaF4"
"X3536STDY8289240Aligned.sortedByCoord.out.bam","190215LBlaF6"
"X3536STDY8289241Aligned.sortedByCoord.out.bam","190215LBlaF7"
"X3536STDY8289242Aligned.sortedByCoord.out.bam","190215LBlaF8"
"X3536STDY8289243Aligned.sortedByCoord.out.bam","190219LBlaA1"
"X3536STDY8289244Aligned.sortedByCoord.out.bam","190219LBlaA2"
"X3536STDY8289245Aligned.sortedByCoord.out.bam","190219LBlaA3"
"X3536STDY8289246Aligned.sortedByCoord.out.bam","190219LBlaA4"
"X3536STDY8289247Aligned.sortedByCoord.out.bam","190219LBlaA5"
"X3536STDY8289249Aligned.sortedByCoord.out.bam","190219LBlaA7"
"X3536STDY8289250Aligned.sortedByCoord.out.bam","190219LBlaA8"
"X3536STDY8289251Aligned.sortedByCoord.out.bam","190219LBlaB1"
"X3536STDY8289253Aligned.sortedByCoord.out.bam","190219LBlaB3"
"X3536STDY8289254Aligned.sortedByCoord.out.bam","190219LBlaB4"
"X3536STDY8289255Aligned.sortedByCoord.out.bam","190219LBlaB5"
"X3536STDY8289256Aligned.sortedByCoord.out.bam","190219LBlaB6"
"X3536STDY8289257Aligned.sortedByCoord.out.bam","190219LBlaB7"
"X3536STDY8289258Aligned.sortedByCoord.out.bam","190219LBlaB8"
"X3536STDY8289259Aligned.sortedByCoord.out.bam","190219LBlaC1"
"X3536STDY8289260Aligned.sortedByCoord.out.bam","190219LBlaC2"
"X3536STDY8289261Aligned.sortedByCoord.out.bam","190219LBlaC3"
"X3536STDY8289262Aligned.sortedByCoord.out.bam","190219LBlaC4"
"X3536STDY8289263Aligned.sortedByCoord.out.bam","190219LBlaC5"
"X3536STDY8289265Aligned.sortedByCoord.out.bam","190219LBlaC7"
"X3536STDY8289266Aligned.sortedByCoord.out.bam","190219LBlaC8"
"X3536STDY8289267Aligned.sortedByCoord.out.bam","190219LBlaD1"
"X3536STDY8289268Aligned.sortedByCoord.out.bam","190219LBlaD2"
"X3536STDY8289270Aligned.sortedByCoord.out.bam","190219LBlaD4"
"X3536STDY8289271Aligned.sortedByCoord.out.bam","190219LBlaD5"
"X3536STDY8289272Aligned.sortedByCoord.out.bam","190219LBlaD6"
"X3536STDY8289273Aligned.sortedByCoord.out.bam","190219LBlaD7"
"X3536STDY8289274Aligned.sortedByCoord.out.bam","190219LBlaD8"
"X3536STDY8289275Aligned.sortedByCoord.out.bam","190219LBlaE1"
"X3536STDY8289276Aligned.sortedByCoord.out.bam","190219LBlaE2"
"X3536STDY8289277Aligned.sortedByCoord.out.bam","190219LBlaE3"
"X3536STDY8289278Aligned.sortedByCoord.out.bam","190219LBlaE4"
"X3536STDY8289279Aligned.sortedByCoord.out.bam","190219LBlaE5"
"X3536STDY8289280Aligned.sortedByCoord.out.bam","190219LBlaE6"
"X3536STDY8289281Aligned.sortedByCoord.out.bam","190219LBlaE7"
"X3536STDY8289282Aligned.sortedByCoord.out.bam","190219LBlaE8"
"X3536STDY8289283Aligned.sortedByCoord.out.bam","190219LBlaF1"
"X3536STDY8289284Aligned.sortedByCoord.out.bam","190219LBlaF2"
"X3536STDY8289285Aligned.sortedByCoord.out.bam","190219LBlaF3"
"X3536STDY8289286Aligned.sortedByCoord.out.bam","190219LBlaF4"
"X3536STDY8289287Aligned.sortedByCoord.out.bam","190219LBlaF5"
"X3536STDY8289288Aligned.sortedByCoord.out.bam","190219LBlaF6"
"X3536STDY8289289Aligned.sortedByCoord.out.bam","190219LBlaF7"
"X3536STDY8612477Aligned.sortedByCoord.out.bam","E15C2_243_Y"
"X3536STDY8612478Aligned.sortedByCoord.out.bam","E15C2_243_AK"
"X3536STDY8612479Aligned.sortedByCoord.out.bam","E15C2_255_A"
"X3536STDY8612480Aligned.sortedByCoord.out.bam","E15C2_255_M"
"X3536STDY8612481Aligned.sortedByCoord.out.bam","E15C2_255_Y"
"X3536STDY8612482Aligned.sortedByCoord.out.bam","E15C2_255_AK"
"X3536STDY8612484Aligned.sortedByCoord.out.bam","E15C2_243_N"
"X3536STDY8612485Aligned.sortedByCoord.out.bam","E15C2_243_Z"
"X3536STDY8612487Aligned.sortedByCoord.out.bam","E15C2_255_B"
"X3536STDY8612489Aligned.sortedByCoord.out.bam","E15C2_255_Z"
"X3536STDY8612490Aligned.sortedByCoord.out.bam","E15C2_255_AL"
"X3536STDY8612491Aligned.sortedByCoord.out.bam","E15C2_243_C"
"X3536STDY8612492Aligned.sortedByCoord.out.bam","E15C2_243_O"
"X3536STDY8612493Aligned.sortedByCoord.out.bam","E15C2_243_AA"
"X3536STDY8612494Aligned.sortedByCoord.out.bam","E15C2_243_AM"
"X3536STDY8612495Aligned.sortedByCoord.out.bam","E15C2_255_C"
"X3536STDY8612497Aligned.sortedByCoord.out.bam","E15C2_255_AA"
"X3536STDY8612498Aligned.sortedByCoord.out.bam","E15C2_255_AM"
"X3536STDY8612499Aligned.sortedByCoord.out.bam","E15C2_243_D"
"X3536STDY8612500Aligned.sortedByCoord.out.bam","E15C2_243_P"
"X3536STDY8612501Aligned.sortedByCoord.out.bam","E15C2_243_AB"
"X3536STDY8612502Aligned.sortedByCoord.out.bam","E15C2_243_AN"
"X3536STDY8612503Aligned.sortedByCoord.out.bam","E15C2_255_D"
"X3536STDY8612504Aligned.sortedByCoord.out.bam","E15C2_255_P"
"X3536STDY8612506Aligned.sortedByCoord.out.bam","E15C2_255_AN"
"X3536STDY8612507Aligned.sortedByCoord.out.bam","E15C2_243_E"
"X3536STDY8612508Aligned.sortedByCoord.out.bam","E15C2_243_Q"
"X3536STDY8612509Aligned.sortedByCoord.out.bam","E15C2_243_AC"
"X3536STDY8612510Aligned.sortedByCoord.out.bam","E15C2_243_AO"
"X3536STDY8612511Aligned.sortedByCoord.out.bam","E15C2_255_E"
"X3536STDY8612512Aligned.sortedByCoord.out.bam","E15C2_255_Q"
"X3536STDY8612514Aligned.sortedByCoord.out.bam","E15C2_255_AO"
"X3536STDY8612515Aligned.sortedByCoord.out.bam","E15C2_243_F"
"X3536STDY8612516Aligned.sortedByCoord.out.bam","E15C2_243_R"
"X3536STDY8612517Aligned.sortedByCoord.out.bam","E15C2_243_AD"
"X3536STDY8612519Aligned.sortedByCoord.out.bam","E15C2_255_F"
"X3536STDY8612520Aligned.sortedByCoord.out.bam","E15C2_255_R"
"X3536STDY8612522Aligned.sortedByCoord.out.bam","E15C2_255_AP"
"X3536STDY8612524Aligned.sortedByCoord.out.bam","E15C2_243_S"
"X3536STDY8612525Aligned.sortedByCoord.out.bam","E15C2_243_AE"
"X3536STDY8612527Aligned.sortedByCoord.out.bam","E15C2_255_G"
"X3536STDY8612528Aligned.sortedByCoord.out.bam","E15C2_255_S"
"X3536STDY8612529Aligned.sortedByCoord.out.bam","E15C2_255_AE"
"X3536STDY8612530Aligned.sortedByCoord.out.bam","E15C2_255_AQ"
"X3536STDY8612531Aligned.sortedByCoord.out.bam","E15C2_243_H"
"X3536STDY8612532Aligned.sortedByCoord.out.bam","E15C2_243_T"
"X3536STDY8612533Aligned.sortedByCoord.out.bam","E15C2_243_AF"
"X3536STDY8612534Aligned.sortedByCoord.out.bam","E15C2_243_AR"
"X3536STDY8612536Aligned.sortedByCoord.out.bam","E15C2_255_T"
"X3536STDY8612537Aligned.sortedByCoord.out.bam","E15C2_255_AF"
"X3536STDY8612539Aligned.sortedByCoord.out.bam","E15C2_243_I"
"X3536STDY8612540Aligned.sortedByCoord.out.bam","E15C2_243_U"
"X3536STDY8612541Aligned.sortedByCoord.out.bam","E15C2_243_AG"
"X3536STDY8612542Aligned.sortedByCoord.out.bam","E15C2_243_AS"
"X3536STDY8612543Aligned.sortedByCoord.out.bam","E15C2_255_I"
"X3536STDY8612544Aligned.sortedByCoord.out.bam","E15C2_255_U"
"X3536STDY8612548Aligned.sortedByCoord.out.bam","E15C2_243_V"
"X3536STDY8612549Aligned.sortedByCoord.out.bam","E15C2_243_AH"
"X3536STDY8612550Aligned.sortedByCoord.out.bam","E15C2_243_AT"
"X3536STDY8612551Aligned.sortedByCoord.out.bam","E15C2_255_J"
"X3536STDY8612552Aligned.sortedByCoord.out.bam","E15C2_255_V"
"X3536STDY8612553Aligned.sortedByCoord.out.bam","E15C2_255_AH"
"X3536STDY8612555Aligned.sortedByCoord.out.bam","E15C2_243_K"
"X3536STDY8612556Aligned.sortedByCoord.out.bam","E15C2_243_W"
"X3536STDY8612557Aligned.sortedByCoord.out.bam","E15C2_243_AI"
"X3536STDY8612558Aligned.sortedByCoord.out.bam","E15C2_243_AU"
"X3536STDY8612560Aligned.sortedByCoord.out.bam","E15C2_255_W"
"X3536STDY8612561Aligned.sortedByCoord.out.bam","E15C2_255_AI"
"X3536STDY8612563Aligned.sortedByCoord.out.bam","E15C2_243_L"
"X3536STDY8612564Aligned.sortedByCoord.out.bam","E15C2_243_X"
"X3536STDY8612565Aligned.sortedByCoord.out.bam","E15C2_243_AJ"
"X3536STDY8612568Aligned.sortedByCoord.out.bam","E15C2_255_X"
"X3536STDY8612569Aligned.sortedByCoord.out.bam","E15C2_255_AJ"
"X3536STDY8652378Aligned.sortedByCoord.out.bam","E15C2_229_A"
"X3536STDY8652379Aligned.sortedByCoord.out.bam","E15C2_229_M"
"X3536STDY8652381Aligned.sortedByCoord.out.bam","E15C2_234_O"
"X3536STDY8652382Aligned.sortedByCoord.out.bam","E15C2_234_AA"
"X3536STDY8652383Aligned.sortedByCoord.out.bam","E15C2_234_AM"
"X3536STDY8652384Aligned.sortedByCoord.out.bam","E15C2_246_C"
"X3536STDY8652385Aligned.sortedByCoord.out.bam","E15C2_246_O"
"X3536STDY8652387Aligned.sortedByCoord.out.bam","E15C2_229_N"
"X3536STDY8652388Aligned.sortedByCoord.out.bam","E15C2_234_D"
"X3536STDY8652389Aligned.sortedByCoord.out.bam","E15C2_234_P"
"X3536STDY8652390Aligned.sortedByCoord.out.bam","E15C2_234_AB"
"X3536STDY8652391Aligned.sortedByCoord.out.bam","E15C2_234_AN"
"X3536STDY8652394Aligned.sortedByCoord.out.bam","E15C2_229_C"
"X3536STDY8652396Aligned.sortedByCoord.out.bam","E15C2_234_E"
"X3536STDY8652397Aligned.sortedByCoord.out.bam","E15C2_234_Q"
"X3536STDY8652399Aligned.sortedByCoord.out.bam","E15C2_234_AO"
"X3536STDY8652401Aligned.sortedByCoord.out.bam","E15C2_246_Q"
"X3536STDY8652402Aligned.sortedByCoord.out.bam","E15C2_229_D"
"X3536STDY8652404Aligned.sortedByCoord.out.bam","E15C2_234_F"
"X3536STDY8652405Aligned.sortedByCoord.out.bam","E15C2_234_R"
"X3536STDY8652406Aligned.sortedByCoord.out.bam","E15C2_234_AD"
"X3536STDY8652407Aligned.sortedByCoord.out.bam","E15C2_234_AP"
"X3536STDY8652408Aligned.sortedByCoord.out.bam","E15C2_246_F"
"X3536STDY8652410Aligned.sortedByCoord.out.bam","E15C2_229_E"
"X3536STDY8652413Aligned.sortedByCoord.out.bam","E15C2_234_S"
"X3536STDY8652414Aligned.sortedByCoord.out.bam","E15C2_234_AE"
"X3536STDY8652416Aligned.sortedByCoord.out.bam","E15C2_246_G"
"X3536STDY8652417Aligned.sortedByCoord.out.bam","E15C2_246_S"
"X3536STDY8652418Aligned.sortedByCoord.out.bam","E15C2_229_F"
"X3536STDY8652420Aligned.sortedByCoord.out.bam","E15C2_234_H"
"X3536STDY8652421Aligned.sortedByCoord.out.bam","E15C2_234_T"
"X3536STDY8652422Aligned.sortedByCoord.out.bam","E15C2_234_AF"
"X3536STDY8652425Aligned.sortedByCoord.out.bam","E15C2_246_T"
"X3536STDY8652429Aligned.sortedByCoord.out.bam","E15C2_234_U"
"X3536STDY8652431Aligned.sortedByCoord.out.bam","E15C2_234_AS"
"X3536STDY8652432Aligned.sortedByCoord.out.bam","E15C2_246_I"
"X3536STDY8652433Aligned.sortedByCoord.out.bam","E15C2_246_U"
"X3536STDY8652434Aligned.sortedByCoord.out.bam","E15C2_229_H"
"X3536STDY8652436Aligned.sortedByCoord.out.bam","E15C2_234_J"
"X3536STDY8652437Aligned.sortedByCoord.out.bam","E15C2_234_V"
"X3536STDY8652438Aligned.sortedByCoord.out.bam","E15C2_234_AH"
"X3536STDY8652439Aligned.sortedByCoord.out.bam","E15C2_234_AT"
"X3536STDY8652440Aligned.sortedByCoord.out.bam","E15C2_246_J"
"X3536STDY8652441Aligned.sortedByCoord.out.bam","E15C2_246_V"
"X3536STDY8652442Aligned.sortedByCoord.out.bam","E15C2_229_I"
"X3536STDY8652444Aligned.sortedByCoord.out.bam","E15C2_234_K"
"X3536STDY8652445Aligned.sortedByCoord.out.bam","E15C2_234_W"
"X3536STDY8652446Aligned.sortedByCoord.out.bam","E15C2_234_AI"
"X3536STDY8652448Aligned.sortedByCoord.out.bam","E15C2_246_K"
"X3536STDY8652449Aligned.sortedByCoord.out.bam","E15C2_246_W"
"X3536STDY8652452Aligned.sortedByCoord.out.bam","E15C2_234_L"
"X3536STDY8652453Aligned.sortedByCoord.out.bam","E15C2_234_X"
"X3536STDY8652455Aligned.sortedByCoord.out.bam","E15C2_234_AV"
"X3536STDY8652457Aligned.sortedByCoord.out.bam","E15C2_246_X"
"X3536STDY8652458Aligned.sortedByCoord.out.bam","E15C2_229_K"
"X3536STDY8652459Aligned.sortedByCoord.out.bam","E15C2_234_A"
"X3536STDY8652460Aligned.sortedByCoord.out.bam","E15C2_234_M"
"X3536STDY8652461Aligned.sortedByCoord.out.bam","E15C2_234_Y"
"X3536STDY8652465Aligned.sortedByCoord.out.bam","E15C2_246_Y"
"X3536STDY8652466Aligned.sortedByCoord.out.bam","E15C2_229_L"
"X3536STDY8652467Aligned.sortedByCoord.out.bam","E15C2_234_B"
"X3536STDY8652468Aligned.sortedByCoord.out.bam","E15C2_234_N"
"X3536STDY8652469Aligned.sortedByCoord.out.bam","E15C2_234_Z"
"X3536STDY8652470Aligned.sortedByCoord.out.bam","E15C2_234_AL"
"X3536STDY8652471Aligned.sortedByCoord.out.bam","E15C2_246_B"
"X3536STDY8652474Aligned.sortedByCoord.out.bam","E15C2_246_AA"
"X3536STDY8652475Aligned.sortedByCoord.out.bam","E15C2_246_AM"
"X3536STDY8652476Aligned.sortedByCoord.out.bam","E15C2_246_AY"
"X3536STDY8652483Aligned.sortedByCoord.out.bam","E15C2_246_AN"
"X3536STDY8652484Aligned.sortedByCoord.out.bam","E15C2_246_AZ"
"X3536STDY8652490Aligned.sortedByCoord.out.bam","E15C2_246_AC"
"X3536STDY8652491Aligned.sortedByCoord.out.bam","E15C2_246_AO"
"X3536STDY8652492Aligned.sortedByCoord.out.bam","E15C2_246_BA"
"X3536STDY8652498Aligned.sortedByCoord.out.bam","E15C2_246_AD"
"X3536STDY8652499Aligned.sortedByCoord.out.bam","E15C2_246_AP"
"X3536STDY8652500Aligned.sortedByCoord.out.bam","E15C2_246_BB"
"X3536STDY8652506Aligned.sortedByCoord.out.bam","E15C2_246_AE"
"X3536STDY8652507Aligned.sortedByCoord.out.bam","E15C2_246_AQ"
"X3536STDY8652514Aligned.sortedByCoord.out.bam","E15C2_246_AF"
"X3536STDY8652515Aligned.sortedByCoord.out.bam","E15C2_246_AR"
"X3536STDY8652522Aligned.sortedByCoord.out.bam","E15C2_246_AG"
"X3536STDY8652523Aligned.sortedByCoord.out.bam","E15C2_246_AS"
"X3536STDY8652530Aligned.sortedByCoord.out.bam","E15C2_246_AH"
"X3536STDY8652538Aligned.sortedByCoord.out.bam","E15C2_246_AI"
"X3536STDY8652539Aligned.sortedByCoord.out.bam","E15C2_246_AU"
"X3536STDY8652546Aligned.sortedByCoord.out.bam","E15C2_246_AJ"
"X3536STDY8652547Aligned.sortedByCoord.out.bam","E15C2_246_AV"
"X3536STDY8652554Aligned.sortedByCoord.out.bam","E15C2_246_AK"
"X3536STDY8652555Aligned.sortedByCoord.out.bam","E15C2_246_AW"
"X3536STDY8652562Aligned.sortedByCoord.out.bam","E15C2_246_AL"
"X3536STDY8652563Aligned.sortedByCoord.out.bam","E15C2_246_AX"
"X3536STDY8494232Aligned.sortedByCoord.out.bam","E15C2_249_AF"
"X3536STDY8494239Aligned.sortedByCoord.out.bam","E15C2_249_U"
"X3536STDY8494240Aligned.sortedByCoord.out.bam","E15C2_249_AG"
"X3536STDY8494247Aligned.sortedByCoord.out.bam","E15C2_249_V"
"X3536STDY8494255Aligned.sortedByCoord.out.bam","E15C2_249_W"
"X3536STDY8494271Aligned.sortedByCoord.out.bam","E15C2_249_Z"
"X3536STDY8494280Aligned.sortedByCoord.out.bam","E15C2_258_C"
"X3536STDY8494288Aligned.sortedByCoord.out.bam","E15C2_258_D"
"X3536STDY8494302Aligned.sortedByCoord.out.bam","E15C2_249_Q"
"X3536STDY8494303Aligned.sortedByCoord.out.bam","E15C2_249_AD"
"X3536STDY8494310Aligned.sortedByCoord.out.bam","E15C2_249_R"
"X3536STDY8494311Aligned.sortedByCoord.out.bam","E15C2_249_Y"
"X3536STDY8494318Aligned.sortedByCoord.out.bam","E15C2_249_S"
"X3536STDY8494335Aligned.sortedByCoord.out.bam","E15C1_223_F"
"X3536STDY8494344Aligned.sortedByCoord.out.bam","E15C1_223_S"
"X3536STDY8494345Aligned.sortedByCoord.out.bam","E15C2_249_G"
"X3536STDY8494351Aligned.sortedByCoord.out.bam","E15C1_223_H"
"X3536STDY8494352Aligned.sortedByCoord.out.bam","E15C1_223_T"
"X3536STDY8494353Aligned.sortedByCoord.out.bam","E15C2_249_H"
"X3536STDY8494359Aligned.sortedByCoord.out.bam","E15C1_223_I"
"X3536STDY8494367Aligned.sortedByCoord.out.bam","E15C1_223_J"
"X3536STDY8494390Aligned.sortedByCoord.out.bam","E15C1_223_A"
"X3536STDY8494391Aligned.sortedByCoord.out.bam","E15C1_223_M"
"X3536STDY8494399Aligned.sortedByCoord.out.bam","E15C1_223_N"
"X3536STDY8494400Aligned.sortedByCoord.out.bam","E15C2_249_B"
"X3536STDY8494417Aligned.sortedByCoord.out.bam","E15C2_249_P"
"X3536STDY8612440Aligned.sortedByCoord.out.bam","E15C2_252_T"
"X3536STDY8612441Aligned.sortedByCoord.out.bam","E15C2_252_AF"
"X3536STDY8612442Aligned.sortedByCoord.out.bam","E15C2_252_AR"
"X3536STDY8612433Aligned.sortedByCoord.out.bam","E15C2_252_AE"
"X3536STDY8612432Aligned.sortedByCoord.out.bam","E15C2_252_S"
"X3536STDY8612386Aligned.sortedByCoord.out.bam","E15C2_252_AK"
"X3536STDY8612387Aligned.sortedByCoord.out.bam","E15C2_240_B"
"X3536STDY8612384Aligned.sortedByCoord.out.bam","E15C2_252_M"
"X3536STDY8612383Aligned.sortedByCoord.out.bam","E15C2_252_A"
"X3536STDY8612385Aligned.sortedByCoord.out.bam","E15C2_252_Y"
"X3536STDY8612430Aligned.sortedByCoord.out.bam","E15C2_240_AQ"
"X3536STDY8612428Aligned.sortedByCoord.out.bam","E15C2_240_S"
"X3536STDY8612388Aligned.sortedByCoord.out.bam","E15C2_240_N"
"X3536STDY8612454Aligned.sortedByCoord.out.bam","E15C2_240_AT"
"X3536STDY8612453Aligned.sortedByCoord.out.bam","E15C2_240_AH"
"X3536STDY8612401Aligned.sortedByCoord.out.bam","E15C2_252_AA"
"X3536STDY8612400Aligned.sortedByCoord.out.bam","E15C2_252_O"
"X3536STDY8612397Aligned.sortedByCoord.out.bam","E15C2_240_AA"
"X3536STDY8612396Aligned.sortedByCoord.out.bam","E15C2_240_O"
"X3536STDY8612395Aligned.sortedByCoord.out.bam","E15C2_240_C"
"X3536STDY8612393Aligned.sortedByCoord.out.bam","E15C2_252_Z"
"X3536STDY8612392Aligned.sortedByCoord.out.bam","E15C2_252_N"
"X3536STDY8612390Aligned.sortedByCoord.out.bam","E15C2_240_AL"
"X3536STDY8612382Aligned.sortedByCoord.out.bam","E15C2_240_AK"
"X3536STDY8612379Aligned.sortedByCoord.out.bam","E15C2_240_A"
"X3536STDY8612381Aligned.sortedByCoord.out.bam","E15C2_240_Y"
"X3536STDY8612472Aligned.sortedByCoord.out.bam","E15C2_252_X"
"X3536STDY8612471Aligned.sortedByCoord.out.bam","E15C2_252_L"
"X3536STDY8612469Aligned.sortedByCoord.out.bam","E15C2_240_AJ"
"X3536STDY8612464Aligned.sortedByCoord.out.bam","E15C2_252_W"
"X3536STDY8612460Aligned.sortedByCoord.out.bam","E15C2_240_W"
"X3536STDY8612461Aligned.sortedByCoord.out.bam","E15C2_240_AI"
"X3536STDY8612459Aligned.sortedByCoord.out.bam","E15C2_240_K"
"X3536STDY8612456Aligned.sortedByCoord.out.bam","E15C2_252_V"
"X3536STDY8612448Aligned.sortedByCoord.out.bam","E15C2_252_U"
"X3536STDY8612445Aligned.sortedByCoord.out.bam","E15C2_240_AG"
"X3536STDY8612436Aligned.sortedByCoord.out.bam","E15C2_240_T"
"X3536STDY8612435Aligned.sortedByCoord.out.bam","E15C2_240_H"
"X3536STDY8612434Aligned.sortedByCoord.out.bam","E15C2_252_AQ"
"X3536STDY8612427Aligned.sortedByCoord.out.bam","E15C2_240_G"
"X3536STDY8612425Aligned.sortedByCoord.out.bam","E15C2_252_AD"
"X3536STDY8612424Aligned.sortedByCoord.out.bam","E15C2_252_R"
"X3536STDY8612421Aligned.sortedByCoord.out.bam","E15C2_240_AD"
"X3536STDY8612420Aligned.sortedByCoord.out.bam","E15C2_240_R"
"X3536STDY8612418Aligned.sortedByCoord.out.bam","E15C2_252_AO"
"X3536STDY8612417Aligned.sortedByCoord.out.bam","E15C2_252_AC"
"X3536STDY8612416Aligned.sortedByCoord.out.bam","E15C2_252_Q"
"X3536STDY8612414Aligned.sortedByCoord.out.bam","E15C2_240_AO"
"X3536STDY8612413Aligned.sortedByCoord.out.bam","E15C2_240_AC"
"X3536STDY8612412Aligned.sortedByCoord.out.bam","E15C2_240_Q"
"X3536STDY8612411Aligned.sortedByCoord.out.bam","E15C2_240_E"
"X3536STDY8612410Aligned.sortedByCoord.out.bam","E15C2_252_AN"
"X3536STDY8612409Aligned.sortedByCoord.out.bam","E15C2_252_AB"
"X3536STDY8612408Aligned.sortedByCoord.out.bam","E15C2_252_P"
"X3536STDY8612405Aligned.sortedByCoord.out.bam","E15C2_240_AB"
"X3536STDY8612406Aligned.sortedByCoord.out.bam","E15C2_240_AN"
"X3536STDY8612404Aligned.sortedByCoord.out.bam","E15C2_240_P"
"CME25A7619454Aligned.sortedByCoord.out.bam","E25B_48_AJ"
"CME25A7619453Aligned.sortedByCoord.out.bam","E25B_48_X"
"CME25A7619452Aligned.sortedByCoord.out.bam","E25B_48_L"
"CME25A7619444Aligned.sortedByCoord.out.bam","E25B_48_K"
"CME25A7619446Aligned.sortedByCoord.out.bam","E25B_48_AI"
"CME25A7619447Aligned.sortedByCoord.out.bam","E25B_59_H"
"CME25A7619439Aligned.sortedByCoord.out.bam","E25B_59_G"
"CME25A7619436Aligned.sortedByCoord.out.bam","E25B_48_J"
"CME25A7619437Aligned.sortedByCoord.out.bam","E25B_48_V"
"CME25A7619429Aligned.sortedByCoord.out.bam","E25B_48_U"
"CME25A7619428Aligned.sortedByCoord.out.bam","E25B_48_I"
"CME25A7619422Aligned.sortedByCoord.out.bam","E25B_48_AF"
"CME25A7619420Aligned.sortedByCoord.out.bam","E25B_48_H"
"CME25A7619421Aligned.sortedByCoord.out.bam","E25B_48_T"
"CME25A7619415Aligned.sortedByCoord.out.bam","E25B_59_D"
"CME25A7619414Aligned.sortedByCoord.out.bam","E25B_48_AE"
"CME25A7619413Aligned.sortedByCoord.out.bam","E25B_48_S"
"CME25A7619412Aligned.sortedByCoord.out.bam","E25B_48_G"
"CME25A7619407Aligned.sortedByCoord.out.bam","E25B_59_C"
"CME25A7619406Aligned.sortedByCoord.out.bam","E25B_48_AD"
"CME25A7619404Aligned.sortedByCoord.out.bam","E25B_48_F"
"CME25A7619396Aligned.sortedByCoord.out.bam","E25B_48_E"
"CME25A7619398Aligned.sortedByCoord.out.bam","E25B_48_AC"
"CME25A7619390Aligned.sortedByCoord.out.bam","E25B_48_AB"
"CME25A7619391Aligned.sortedByCoord.out.bam","E25B_59_A"
"CME25A7619389Aligned.sortedByCoord.out.bam","E25B_48_P"
"CME25A7619388Aligned.sortedByCoord.out.bam","E25B_48_D"
"CME25A7619383Aligned.sortedByCoord.out.bam","E25B_48_AM"
"CME25A7619374Aligned.sortedByCoord.out.bam","E25B_48_Z"
"CME25A7619380Aligned.sortedByCoord.out.bam","E25B_48_C"
"CME25A7619375Aligned.sortedByCoord.out.bam","E25B_48_AL"
"CME25A7619366Aligned.sortedByCoord.out.bam","E25B_48_Y"
