"","marmoset_dataInVivo$LOC"
"CME25A7851617Aligned.sortedByCoord.out.bam","P2_E15B_213_G"
"CME25A7851558Aligned.sortedByCoord.out.bam","P2_E15B_204_M"
"CME25A7851557Aligned.sortedByCoord.out.bam","P2_E15B_204_A"
"CME25A7851643Aligned.sortedByCoord.out.bam","P2_E15B_213_AH"
"CME25A7851650Aligned.sortedByCoord.out.bam","P2_E15B_213_W"
"CME25A7851590Aligned.sortedByCoord.out.bam","P2_E15B_204_Q"
"CME25A7851605Aligned.sortedByCoord.out.bam","P2_E15B_204_G"
"CME25A7851639Aligned.sortedByCoord.out.bam","P2_E15B_204_AI"
"CME25A7851609Aligned.sortedByCoord.out.bam","P2_E15B_213_F"
"CME25A7851561Aligned.sortedByCoord.out.bam","P2_E15B_210_A"
"CME25A7851647Aligned.sortedByCoord.out.bam","P2_E15B_204_AJ"
"CME25A7851632Aligned.sortedByCoord.out.bam","P2_E15B_204_AT"
"CME25A7851646Aligned.sortedByCoord.out.bam","P2_E15B_204_X"
"CME25A7851645Aligned.sortedByCoord.out.bam","P2_E15B_204_L"
"CME25A7851581Aligned.sortedByCoord.out.bam","P2_E15B_204_D"
"CME25A7851638Aligned.sortedByCoord.out.bam","P2_E15B_204_W"
"CME25A7851563Aligned.sortedByCoord.out.bam","P2_E15B_213_X"
"CME25A7851565Aligned.sortedByCoord.out.bam","P2_E15B_204_B"
"CME25A7851652Aligned.sortedByCoord.out.bam","P2_E15B_213_AU"
"CME25A7851620Aligned.sortedByCoord.out.bam","P2_E15B_213_AQ"
"CME25A7851564Aligned.sortedByCoord.out.bam","P2_E15B_213_AJ"
"CME25A7851636Aligned.sortedByCoord.out.bam","P2_E15B_213_AS"
"CME25A7851570Aligned.sortedByCoord.out.bam","P2_E15B_213_M"
"CME25A7851596Aligned.sortedByCoord.out.bam","P2_E15B_213_AN"
"X3536STDY8652481Aligned.sortedByCoord.out.bam","E15A_29_O"
"X3536STDY8652497Aligned.sortedByCoord.out.bam","E15A_29_Q"
"X3536STDY8652504Aligned.sortedByCoord.out.bam","E15A_29_D"
"X3536STDY8652505Aligned.sortedByCoord.out.bam","E15A_29_R"
"X3536STDY8652512Aligned.sortedByCoord.out.bam","E15A_29_G"
"X3536STDY8652513Aligned.sortedByCoord.out.bam","E15A_29_S"
"X3536STDY8652520Aligned.sortedByCoord.out.bam","E15A_29_H"
"X3536STDY8652521Aligned.sortedByCoord.out.bam","E15A_29_T"
"X3536STDY8652528Aligned.sortedByCoord.out.bam","E15A_29_I"
"X3536STDY8652529Aligned.sortedByCoord.out.bam","E15A_29_U"
"X3536STDY8652536Aligned.sortedByCoord.out.bam","E15A_29_J"
"X3536STDY8652537Aligned.sortedByCoord.out.bam","E15A_29_V"
"X3536STDY8652544Aligned.sortedByCoord.out.bam","E15A_29_K"
"X3536STDY8652545Aligned.sortedByCoord.out.bam","E15A_29_W"
"X3536STDY8652552Aligned.sortedByCoord.out.bam","E15A_29_L"
"X3536STDY8652553Aligned.sortedByCoord.out.bam","E15A_29_X"
"X3536STDY8652560Aligned.sortedByCoord.out.bam","E15A_29_M"
"X3536STDY8652561Aligned.sortedByCoord.out.bam","E15A_29_Y"
"X3536STDY8652568Aligned.sortedByCoord.out.bam","E15A_29_N"
"X3536STDY8652569Aligned.sortedByCoord.out.bam","E15A_29_Z"
"CME25A7619418Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e2_4"
"CME25A7619410Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e2_3"
"CME25A7619402Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e2_2"
"CME25A7619394Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e2_1"
"CME25A7619386Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e1_4"
"CME25A7619378Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e1_3"
"CME25A7619370Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e1_2"
"CME25A7619362Aligned.sortedByCoord.out.bam","P5_CM_2601A_4C_e1_1"
