"","x"
"ERR2851806Aligned.sortedByCoord.out.bam",9004
"ERR2851807Aligned.sortedByCoord.out.bam",14545
"ERR2851808Aligned.sortedByCoord.out.bam",11293
"ERR2851809Aligned.sortedByCoord.out.bam",12363
"ERR2851810Aligned.sortedByCoord.out.bam",8214
"ERR2851811Aligned.sortedByCoord.out.bam",9557
"ERR2851812Aligned.sortedByCoord.out.bam",13132
"ERR2851813Aligned.sortedByCoord.out.bam",9958
"ERR2851814Aligned.sortedByCoord.out.bam",9714
"ERR2851815Aligned.sortedByCoord.out.bam",7518
"ERR2851816Aligned.sortedByCoord.out.bam",8423
"ERR2851817Aligned.sortedByCoord.out.bam",13490
"ERR2851818Aligned.sortedByCoord.out.bam",11997
"ERR2851819Aligned.sortedByCoord.out.bam",9601
"ERR2851820Aligned.sortedByCoord.out.bam",12670
"ERR2851821Aligned.sortedByCoord.out.bam",5565
"ERR2851822Aligned.sortedByCoord.out.bam",12284
"ERR2851823Aligned.sortedByCoord.out.bam",9231
"ERR2851824Aligned.sortedByCoord.out.bam",11518
"ERR2851825Aligned.sortedByCoord.out.bam",7266
"ERR2851826Aligned.sortedByCoord.out.bam",12338
"ERR2851827Aligned.sortedByCoord.out.bam",6058
"ERR2851828Aligned.sortedByCoord.out.bam",10008
"ERR2851829Aligned.sortedByCoord.out.bam",7130
"ERR2851830Aligned.sortedByCoord.out.bam",11890
"ERR2851831Aligned.sortedByCoord.out.bam",14261
"ERR2851832Aligned.sortedByCoord.out.bam",9381
"ERR2851833Aligned.sortedByCoord.out.bam",8240
"ERR2851834Aligned.sortedByCoord.out.bam",11726
"ERR2851835Aligned.sortedByCoord.out.bam",8947
"ERR2851836Aligned.sortedByCoord.out.bam",13050
"ERR2851837Aligned.sortedByCoord.out.bam",9125
"ERR2851838Aligned.sortedByCoord.out.bam",9634
"ERR2851839Aligned.sortedByCoord.out.bam",11096
"ERR2851840Aligned.sortedByCoord.out.bam",8642
"ERR2851841Aligned.sortedByCoord.out.bam",13263
"ERR2851842Aligned.sortedByCoord.out.bam",13649
"ERR2851843Aligned.sortedByCoord.out.bam",12897
"ERR2851844Aligned.sortedByCoord.out.bam",8857
"ERR2851845Aligned.sortedByCoord.out.bam",9472
"ERR2851846Aligned.sortedByCoord.out.bam",8539
"ERR2851847Aligned.sortedByCoord.out.bam",8163
"ERR2851848Aligned.sortedByCoord.out.bam",7559
"ERR2851849Aligned.sortedByCoord.out.bam",12040
"ERR2851850Aligned.sortedByCoord.out.bam",12072
"ERR2851851Aligned.sortedByCoord.out.bam",8182
"ERR2851852Aligned.sortedByCoord.out.bam",12464
"ERR2851853Aligned.sortedByCoord.out.bam",10421
"ERR2851854Aligned.sortedByCoord.out.bam",7281
"ERR2851855Aligned.sortedByCoord.out.bam",7409
"ERR2851856Aligned.sortedByCoord.out.bam",8749
"ERR2851857Aligned.sortedByCoord.out.bam",11725
"ERR2851858Aligned.sortedByCoord.out.bam",9304
"ERR2851859Aligned.sortedByCoord.out.bam",7461
"ERR2851860Aligned.sortedByCoord.out.bam",12609
"ERR2851861Aligned.sortedByCoord.out.bam",5632
"ERR2851862Aligned.sortedByCoord.out.bam",10523
"ERR2851863Aligned.sortedByCoord.out.bam",11158
"ERR2851864Aligned.sortedByCoord.out.bam",9417
"ERR2851865Aligned.sortedByCoord.out.bam",8301
"ERR2851866Aligned.sortedByCoord.out.bam",5486
"ERR2851867Aligned.sortedByCoord.out.bam",7319
"ERR2851868Aligned.sortedByCoord.out.bam",9430
"ERR2851869Aligned.sortedByCoord.out.bam",11217
"ERR2851870Aligned.sortedByCoord.out.bam",7728
"ERR2851871Aligned.sortedByCoord.out.bam",8436
"ERR2851872Aligned.sortedByCoord.out.bam",4521
"ERR2851873Aligned.sortedByCoord.out.bam",14046
"ERR2851874Aligned.sortedByCoord.out.bam",6722
"ERR2851875Aligned.sortedByCoord.out.bam",7530
"ERR2851876Aligned.sortedByCoord.out.bam",11791
"ERR2851877Aligned.sortedByCoord.out.bam",8665
"ERR2851878Aligned.sortedByCoord.out.bam",7257
"ERR2851879Aligned.sortedByCoord.out.bam",6820
"ERR2851880Aligned.sortedByCoord.out.bam",7101
"ERR2851881Aligned.sortedByCoord.out.bam",6445
"ERR2851882Aligned.sortedByCoord.out.bam",10523
"ERR2851883Aligned.sortedByCoord.out.bam",8045
"ERR2851884Aligned.sortedByCoord.out.bam",11187
"ERR2851885Aligned.sortedByCoord.out.bam",5039
"ERR2851886Aligned.sortedByCoord.out.bam",7919
"ERR2851887Aligned.sortedByCoord.out.bam",13407
"ERR2851888Aligned.sortedByCoord.out.bam",10622
"ERR2851889Aligned.sortedByCoord.out.bam",5428
"ERR2851890Aligned.sortedByCoord.out.bam",8488
"ERR2851891Aligned.sortedByCoord.out.bam",6899
"ERR2851892Aligned.sortedByCoord.out.bam",3979
"ERR2851893Aligned.sortedByCoord.out.bam",9730
"ERR2851894Aligned.sortedByCoord.out.bam",7211
"ERR2851895Aligned.sortedByCoord.out.bam",9704
"ERR2851896Aligned.sortedByCoord.out.bam",9407
"ERR2851897Aligned.sortedByCoord.out.bam",5296
"ERR2851898Aligned.sortedByCoord.out.bam",6765
"ERR2851899Aligned.sortedByCoord.out.bam",7113
"ERR2851900Aligned.sortedByCoord.out.bam",9844
"ERR2851901Aligned.sortedByCoord.out.bam",5120
"ERR2851902Aligned.sortedByCoord.out.bam",5592
"ERR2851903Aligned.sortedByCoord.out.bam",10007
"ERR2851904Aligned.sortedByCoord.out.bam",11566
"ERR2851905Aligned.sortedByCoord.out.bam",11376
"ERR2851906Aligned.sortedByCoord.out.bam",14644
"ERR2851907Aligned.sortedByCoord.out.bam",6412
"ERR2851908Aligned.sortedByCoord.out.bam",9159
"ERR2851909Aligned.sortedByCoord.out.bam",10046
"ERR2851910Aligned.sortedByCoord.out.bam",7484
"ERR2851911Aligned.sortedByCoord.out.bam",12394
"SLX.12168.N706_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",8562
"SLX.12168.N706_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",10949
"SLX.12168.N706_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",13313
"SLX.12168.N704_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",8878
"SLX.12168.N706_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",6181
"SLX.12168.N705_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",7745
"SLX.12168.N705_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",6486
"SLX.12168.N704_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",9064
"SLX.12168.N705_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",7956
"SLX.12168.N704_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",9538
"SLX.12168.N705_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",3006
"SLX.12168.N703_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",6713
"SLX.12168.N704_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",3107
"SLX.12168.N703_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",4995
"SLX.12168.N703_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",7867
"SLX.10821.N706_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3523
"SLX.10821.N705_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3851
"SLX.10821.N703_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",9784
"SLX.12168.N702_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",6037
"SLX.12168.N702_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",6659
"SLX.10821.N702_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3214
"SLX.10821.N704_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",1846
"SLX.10821.N705_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",13116
"SLX.10821.N704_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",5618
"SLX.10821.N701_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",7090
"SLX.12168.N703_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",3465
"SLX.10821.N706_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",4847
"SLX.10821.N706_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",6962
"SLX.12168.N701_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",14618
"SLX.10821.N703_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3533
"SLX.10821.N701_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",5917
"SLX.10821.N702_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",2703
"SLX.12168.N701_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",4668
"SLX.12168.N701_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",1944
"SLX.10821.N705_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",2701
"SLX.10821.N703_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",6835
"SLX.12168.N702_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",8297
"SLX.10821.N701_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",6901
"SLX.10821.N704_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3890
"SLX.10821.N705_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",3039
"SLX.10821.N702_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",2835
"SLX.10821.N706_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam",2758
"SLX.12168.N701_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam",7670
"CME25A7812760Aligned.sortedByCoord.out.bam.1",5186
"CME25A7812757Aligned.sortedByCoord.out.bam.1",5863
"CME25A7812759Aligned.sortedByCoord.out.bam.1",3710
"CME25A7812758Aligned.sortedByCoord.out.bam.1",3837
"CME25A7812761Aligned.sortedByCoord.out.bam.1",3876
"CME25A7812756Aligned.sortedByCoord.out.bam.1",7198
"CME25A7812749Aligned.sortedByCoord.out.bam.1",5081
"CME25A7812754Aligned.sortedByCoord.out.bam.1",4710
"CME25A7812745Aligned.sortedByCoord.out.bam.1",6558
"CME25A7812755Aligned.sortedByCoord.out.bam.1",6879
