File,ID,CompID,CompID,Location,uLoc,EmbryoStage,EmbryoID,Carnegie Stage,Annotation,Annotation2,Annotation3,Order,Unique_Reads,%Mapped,%Mapped_to_annotation_base,%Mapped_to_annotation_5kbextended,%Mapped_to_annotation_1kbextended,QC,NoGenes,FinalAverage,All,vsCyno,Table,PreImp,vsCynoMin,PostImp,AllPImp,ForMapping,MapES,SpatialModelPlus,vsCynoClara,SpatialModelPlus2
CME25A7812738Aligned.sortedByCoord.out.bam,CME25A7812738,CME25A7812738,CME25A7812738,P1_E15B_207_Z,ReStroma_CS5_P1_E15B_207_Z,E15,E15B,CS5,ReStroma_CS5_,ReStroma_CS5,ReStroma_CS5,26,1069831,0.8129,0.446849846,0.537512663,0.491670685,1,10315,1,0,0,1,0,0,1,1,1,0,0,0,0
CME25A7812737Aligned.sortedByCoord.out.bam,CME25A7812737,CME25A7812737,CME25A7812737,P1_E15B_207_Y,Tb_CS5_P1_E15B_207_Y,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,27,1970616,0.7135,0.067770909,0.111339838,0.080557408,1,6150,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812724Aligned.sortedByCoord.out.bam,CME25A7812724,CME25A7812724,CME25A7812724,P1_E15B_207_L,EmDisc_CS5_P1_E15B_207_L,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,28,1693675,0.8104,0.417451085,0.479864973,0.448027786,1,13220,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812735Aligned.sortedByCoord.out.bam,CME25A7812735,CME25A7812735,CME25A7812735,P1_E15B_207_W,Tb_CS5_P1_E15B_207_W,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,33,775254,0.7702,0.099683322,0.148411062,0.116840445,1,9296,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812729Aligned.sortedByCoord.out.bam,CME25A7812729,CME25A7812729,CME25A7812729,P1_E15B_207_Q,SYS_CS5_P1_E15B_207_Q,E15,E15B,CS5,SYS_protrusion_CS5_,SYS_CS5,SYS_protrusion_CS5_,34,2383750,0.6422,0.28108742,0.364744751,0.314332289,1,5363,1,1,1,1,0,1,1,1,1,1,0,1,1
CME25A7812726Aligned.sortedByCoord.out.bam,CME25A7812726,CME25A7812726,CME25A7812726,P1_E15B_207_N,Am_CS5_P1_E15B_207_N,E15,E15B,CS5,Am_CS5_,Am_CS5,Am_CS5,36,948699,0.7798,0.428048421,0.501960006,0.46593505,1,13104,1,1,1,1,0,0,1,1,1,1,1,1,1
CME25A7812733Aligned.sortedByCoord.out.bam,CME25A7812733,CME25A7812733,CME25A7812733,P1_E15B_207_U,Tb_CS5_P1_E15B_207_U,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,37,1676043,0.8462,0.087629259,0.1328408,0.103021684,1,12333,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812716Aligned.sortedByCoord.out.bam,CME25A7812716,CME25A7812716,CME25A7812716,P1_E15B_207_D,VE_CS5_P1_E15B_207_D,E15,E15B,CS5,VE_CS5_,VE_CS5,VE_CS5,41,7567423,0.8619,0.218192955,0.278621334,0.24056021,1,8110,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812722Aligned.sortedByCoord.out.bam,CME25A7812722,CME25A7812722,CME25A7812722,P1_E15B_207_J,EmDisc_CS5_P1_E15B_207_J,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,42,2240917,0.8107,0.292292196,0.363713473,0.325547882,1,12930,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812723Aligned.sortedByCoord.out.bam,CME25A7812723,CME25A7812723,CME25A7812723,P1_E15B_207_K,EmDisc_CS5_P1_E15B_207_K,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,43,1849583,0.8215,0.419408044,0.481402575,0.449220724,1,12140,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812714Aligned.sortedByCoord.out.bam,CME25A7812714,CME25A7812714,CME25A7812714,P1_E15B_207_B,VE_CS5_P1_E15B_207_B,E15,E15B,CS5,VE_CS5_,VE_CS5,VE_CS5,44,7201034,0.8291,0.349967107,0.437147532,0.389381925,1,7986,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812718Aligned.sortedByCoord.out.bam,CME25A7812718,CME25A7812718,CME25A7812718,P1_E15B_207_F,VE_CS5_P1_E15B_207_F,E15,E15B,CS5,VE_CS5_,VE_CS5,VE_CS5,45,4070623,0.8317,0.285904163,0.364287064,0.320716637,1,9069,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812720Aligned.sortedByCoord.out.bam,CME25A7812720,CME25A7812720,CME25A7812720,P1_E15B_207_H,EmDisc_CS5_P1_E15B_207_H,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,46,2198104,0.8127,0.451679912,0.519165402,0.484693915,1,14343,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812721Aligned.sortedByCoord.out.bam,CME25A7812721,CME25A7812721,CME25A7812721,P1_E15B_207_I,EmDisc_CS5_P1_E15B_207_I,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,47,1437044,0.6926,0.26814323,0.327175497,0.295473052,1,10417,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812710Aligned.sortedByCoord.out.bam,CME25A7812710,CME25A7812710,CME25A7812710,P1_E15B_193_AS,Gland_CS5_P1_E15B_193_AS,E15,E15B,CS5,Gland_CS5_,Gland_CS5,Gland_CS5,48,4895065,0.8753,0.492816658,0.555895272,0.51905855,1,9396,1,1,0,1,0,0,1,1,1,0,0,0,0
CME25A7812719Aligned.sortedByCoord.out.bam,CME25A7812719,CME25A7812719,CME25A7812719,P1_E15B_207_G,EmDisc_CS5_P1_E15B_207_G,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,49,2711669,0.819,0.419932682,0.481515669,0.449470893,1,11896,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812709Aligned.sortedByCoord.out.bam,CME25A7812709,CME25A7812709,CME25A7812709,P1_E15B_193_AR,Gland_CS5_P1_E15B_193_AR,E15,E15B,CS5,Gland_CS5_,Gland_CS5,Gland_CS5,52,7444916,0.8815,0.429475364,0.491787405,0.454983832,1,12046,1,1,0,1,0,0,1,1,1,0,0,0,0
