File,ID,Desc,ID2,ID3,Section,Position,Stage,PosID,Embryo,IsEmb,NotRef,Order
SRR7984409Aligned.sortedByCoord.out.bam,SRR7984409,Stage E7.0 embryo Ref section 7 region EA (E7.0_Ref_7EA),E7.0_Ref_7EA,7EA.E7.0,7,EA,E7.0,7EA.E7.0,Ref,1,0,583
SRR7984408Aligned.sortedByCoord.out.bam,SRR7984408,Stage E7.0 embryo Ref section 6 region M (E7.0_Ref_6M),E7.0_Ref_6M,6M.E7.0,6,M,E7.0,6M.E7.0,Ref,1,0,584
SRR7984407Aligned.sortedByCoord.out.bam,SRR7984407,Stage E7.0 embryo Ref section 6 region EP (E7.0_Ref_6EP),E7.0_Ref_6EP,6EP.E7.0,6,EP,E7.0,6EP.E7.0,Ref,1,0,585
SRR7984405Aligned.sortedByCoord.out.bam,SRR7984405,Stage E7.0 embryo Ref section 5 region M (E7.0_Ref_5M),E7.0_Ref_5M,5M.E7.0,5,M,E7.0,5M.E7.0,Ref,1,0,586
SRR7984406Aligned.sortedByCoord.out.bam,SRR7984406,Stage E7.0 embryo Ref section 6 region EA (E7.0_Ref_6EA),E7.0_Ref_6EA,6EA.E7.0,6,EA,E7.0,6EA.E7.0,Ref,1,0,587
SRR7984404Aligned.sortedByCoord.out.bam,SRR7984404,Stage E7.0 embryo Ref section 5 region EP (E7.0_Ref_5EP),E7.0_Ref_5EP,5EP.E7.0,5,EP,E7.0,5EP.E7.0,Ref,1,0,588
SRR7984403Aligned.sortedByCoord.out.bam,SRR7984403,Stage E7.0 embryo Ref section 5 region EA (E7.0_Ref_5EA),E7.0_Ref_5EA,5EA.E7.0,5,EA,E7.0,5EA.E7.0,Ref,1,0,589
SRR7984400Aligned.sortedByCoord.out.bam,SRR7984400,Stage E7.0 embryo Ref section 4 region EA (E7.0_Ref_4EA),E7.0_Ref_4EA,4EA.E7.0,4,EA,E7.0,4EA.E7.0,Ref,1,0,590
SRR7984402Aligned.sortedByCoord.out.bam,SRR7984402,Stage E7.0 embryo Ref section 4 region M (E7.0_Ref_4M),E7.0_Ref_4M,4M.E7.0,4,M,E7.0,4M.E7.0,Ref,1,0,591
SRR7984401Aligned.sortedByCoord.out.bam,SRR7984401,Stage E7.0 embryo Ref section 4 region EP (E7.0_Ref_4EP),E7.0_Ref_4EP,4EP.E7.0,4,EP,E7.0,4EP.E7.0,Ref,1,0,592
SRR7984398Aligned.sortedByCoord.out.bam,SRR7984398,Stage E7.0 embryo Ref section 3 region EP (E7.0_Ref_3EP),E7.0_Ref_3EP,3EP.E7.0,3,EP,E7.0,3EP.E7.0,Ref,1,0,593
SRR7984397Aligned.sortedByCoord.out.bam,SRR7984397,Stage E7.0 embryo Ref section 3 region EA (E7.0_Ref_3EA),E7.0_Ref_3EA,3EA.E7.0,3,EA,E7.0,3EA.E7.0,Ref,1,0,594
SRR7984399Aligned.sortedByCoord.out.bam,SRR7984399,Stage E7.0 embryo Ref section 3 region M (E7.0_Ref_3M),E7.0_Ref_3M,3M.E7.0,3,M,E7.0,3M.E7.0,Ref,1,0,595
SRR7984393Aligned.sortedByCoord.out.bam,SRR7984393,Stage E7.0 embryo Ref section 1 region EA (E7.0_Ref_1EAP),E7.0_Ref_1EAP,1EAP.E7.0,1,EA,E7.0,1EA.E7.0,Ref,1,0,596
SRR7984396Aligned.sortedByCoord.out.bam,SRR7984396,Stage E7.0 embryo Ref section 2 region M (E7.0_Ref_2M),E7.0_Ref_2M,2M.E7.0,2,M,E7.0,2M.E7.0,Ref,1,0,597
SRR7984391Aligned.sortedByCoord.out.bam,SRR7984391,Stage E7.0 embryo Ref section 11 region EP (E7.0_Ref_11EP),E7.0_Ref_11EP,11EP.E7.0,11,EP,E7.0,11EP.E7.0,Ref,1,0,598
SRR7984390Aligned.sortedByCoord.out.bam,SRR7984390,Stage E7.0 embryo Ref section 11 region EA (E7.0_Ref_11EA),E7.0_Ref_11EA,11EA.E7.0,11,EA,E7.0,11EA.E7.0,Ref,1,0,599
SRR7984392Aligned.sortedByCoord.out.bam,SRR7984392,Stage E7.0 embryo Ref section 11 region M (E7.0_Ref_11M),E7.0_Ref_11M,11M.E7.0,11,M,E7.0,11M.E7.0,Ref,1,0,600
