x,y,z,shot,tissue
-144.355545,-50.643406,-65.419449,243_Z,SYS
62.61858666,315.6323032,7.214489874,246_AA,ExMes
29.6779375,294.6299374,-14.22065561,246_AC,ExMes
-41.77859001,293.699834,7.720242243,246_AD,ExMes
182.978061,305.2083962,-8.795559657,246_AE,ExMes
137.6848594,189.550517,-12.61428614,246_AL,VE
302.2244624,190.7349946,-9.352417144,246_AO,ExMes
232.8753245,103.166997,-10.81359687,246_AP,EmDisc
233.617373,79.55482383,-7.999101755,246_AP,PGC
205.3309422,157.2056506,-43.12988699,246_AP,SYS
295.33647,116.6205877,-7.766463259,246_AQ,ExMes
253.193008,72.545189,-21.094509,246_AS,Am
-227.9909557,-178.6899768,-6.233879417,246_AU,EmDisc
128.434509,127.558678,94.449844,246_AU,PGC
-229.337875,-81.255173,-32.401756,246_AU,SYS
-127.604,-199.8418968,-10.53529815,246_AV,EmDisc
186.232788,60.287392,79.464195,246_AV,PGC
-184.67778,-70.303444,-58.746582,246_AV,SYS
-17.36337841,-137.7459968,9.623154364,246_AW,EmDisc
186.492493,60.561668,77.810081,246_AW,PGC
-140.754318,-46.336731,-64.61879,246_AW,SYS
0.162192403,-17.27713539,-7.468207667,246_AX,EmDisc
183.617355,64.949867,78.592369,246_AX,PGC
-118.092842,-10.369155,-79.031509,246_AX,SYS
35.18960417,52.05682552,-10.38872534,246_AY,EmDisc
128.6388112,129.1197737,91.99820547,246_AY,PGC
-40.73202046,146.2356702,-49.89822526,246_AY,SYS
74.95228167,91.5467941,-6.515984926,246_AZ,EmDisc
129.871765,136.576172,87.698746,246_AZ,PGC
20.2566484,187.9194576,-48.98693298,246_AZ,SYS
422.758908,5.130272038,-16.83201681,246_B,Tb
-141.9269967,-0.492848785,-10.70794634,246_BA,VE
-59.55048278,82.67358667,-6.502712401,246_BB,VE
379.7504659,-38.02960891,-9.796906918,246_C,Tb
142.5706683,-104.3225235,-4.955118796,246_F,Am
81.97827072,-162.7678051,-8.602088945,246_G,Am
-54.87122941,-253.6383186,-2.052464016,246_I,Am
-109.89355,-282.119333,2.635247587,246_J,Am
-180.9572614,-296.4543513,2.342167778,246_K,Am
-293.6359847,-104.2549196,26.05548586,246_O,EmDisc
128.434509,127.558678,94.449844,246_O,PGC
-257.354218,-53.425007,4.58453,246_O,SYS
77.04020893,174.1592003,-6.123298271,246_W,VE
90.98596943,264.9757039,1.059147203,246_X,ExMes
13.96359484,314.4642914,16.50412848,246_Y,ExMes
-110.3284065,-63.458672,23.52410127,249_AD,VE
-179.0922121,-171.5882709,58.10490013,249_AG,EmDisc
128.434509,127.558678,94.449844,249_AG,PGC
-235.351471,-71.808533,-18.069773,249_AG,SYS
-203.8759136,-303.0044382,43.39466165,249_B,ExMes
